,name1,name2,Site
8643,gut oral Prevotella dentalis == [Hallella] seregens,oral Prevotella dentalis == [Hallella] seregens,Oral
8722,gut oral Prevotella denticola,oral Prevotella denticola,Oral
8787,gut oral Prevotella histicola,oral Prevotella histicola,Oral
8821,gut oral Prevotella intermedia,oral Prevotella intermedia,Oral
8904,gut oral Prevotella jejuni,oral Prevotella jejuni,Oral
8958,gut oral Prevotella loescheii,oral Prevotella loescheii,Oral
8995,gut oral Prevotella maculosa,oral Prevotella maculosa,Oral
9055,gut oral Prevotella marshii,oral Prevotella marshii,Oral
9071,gut oral Prevotella melaninogenica,oral Prevotella melaninogenica,Oral
9096,gut oral Prevotella micans,oral Prevotella micans,Oral
9106,gut oral Prevotella multiformis,oral Prevotella multiformis,Oral
9210,gut oral Prevotella multisaccharivorax,oral Prevotella multisaccharivorax,Oral
9271,gut oral Prevotella nanceiensis,oral Prevotella nanceiensis,Oral
9311,gut oral Prevotella nigrescens,oral Prevotella nigrescens,Oral
9350,gut oral Prevotella oralis,oral Prevotella oralis,Oral
9385,gut oral Prevotella oris,oral Prevotella oris,Oral
9424,gut oral Prevotella oulorum,oral Prevotella oulorum,Oral
9446,gut oral Prevotella pallens,oral Prevotella pallens,Oral
9508,gut oral Prevotella pleuritidis,oral Prevotella pleuritidis,Oral
9580,gut oral Prevotella saccharolytica,oral Prevotella saccharolytica,Oral
9626,gut oral Prevotella salivae,oral Prevotella salivae,Oral
9678,gut oral Prevotella scopos,oral Prevotella scopos,Oral
9697,gut oral Prevotella shahii,oral Prevotella shahii,Oral
9767,gut oral Prevotella sp. F0091,oral Prevotella sp. F0091,Oral
9808,gut oral Prevotella sp. HJM029,oral Prevotella sp. HJM029,Oral
9852,gut oral Prevotella sp. oral taxon 306,oral Prevotella sp. oral taxon 306,Oral
9901,gut oral Prevotella sp. oral taxon 317,oral Prevotella sp. oral taxon 317,Oral
9963,gut oral Prevotella sp. oral taxon 473,oral Prevotella sp. oral taxon 473,Oral
9985,gut oral Prevotella veroralis,oral Prevotella veroralis,Oral
10054,gut oral Propionibacterium acidifaciens,oral Propionibacterium acidifaciens,Oral
10096,gut oral Pseudomonas aeruginosa,oral Pseudomonas aeruginosa,Oral
10102,gut oral Pseudopropionibacterium propionicum,oral Pseudopropionibacterium propionicum,Oral
10132,gut oral Pseudoramibacter alactolyticus,oral Pseudoramibacter alactolyticus,Oral
10197,gut oral Pyramidobacter piscolens,oral Pyramidobacter piscolens,Oral
10209,gut oral Rothia aeria,oral Rothia aeria,Oral
10273,gut oral Rothia dentocariosa,oral Rothia dentocariosa,Oral
10297,gut oral Rothia mucilaginosa 1,oral Rothia mucilaginosa 1,Oral
10312,gut oral Rothia mucilaginosa 2,oral Rothia mucilaginosa 2,Oral
10347,gut oral Rothia sp. HMSC069C03 & sp. HMSC061E04,oral Rothia sp. HMSC069C03 & sp. HMSC061E04,Oral
10374,gut oral SR1 bacterium human oral taxon HOT-345,oral SR1 bacterium human oral taxon HOT-345,Oral
10430,gut oral Sanguibacter keddieii,oral Sanguibacter keddieii,Oral
10476,gut oral Scardovia inopinata,oral Scardovia inopinata,Oral
10496,gut oral Scardovia wiggsiae,oral Scardovia wiggsiae,Oral
10524,gut oral Selenomonas artemidis,oral Selenomonas artemidis,Oral
10540,gut oral Selenomonas flueggei,oral Selenomonas flueggei,Oral
10569,gut oral Selenomonas infelix,oral Selenomonas infelix,Oral
10588,gut oral Selenomonas massiliensis,oral Selenomonas massiliensis,Oral
10610,gut oral Selenomonas noxia,oral Selenomonas noxia,Oral
10631,gut oral Selenomonas sp. F0473,oral Selenomonas sp. F0473,Oral
10652,gut oral Selenomonas sp. Marseille-P3560 & sp. oral taxon 149,oral Selenomonas sp. Marseille-P3560 & sp. oral taxon 149,Oral
10704,gut oral Selenomonas sp. oral taxon 126,oral Selenomonas sp. oral taxon 126,Oral
10753,gut oral Selenomonas sp. oral taxon 138,oral Selenomonas sp. oral taxon 138,Oral
10803,gut oral Selenomonas sp. oral taxon 892,oral Selenomonas sp. oral taxon 892,Oral
10826,gut oral Selenomonas sp. oral taxon 920,oral Selenomonas sp. oral taxon 920,Oral
10830,gut oral Selenomonas sputigena,oral Selenomonas sputigena,Oral
10893,gut oral Shuttleworthia satelles,oral Shuttleworthia satelles,Oral
10936,gut oral Slackia exigua,oral Slackia exigua,Oral
11011,gut oral Solobacterium moorei,oral Solobacterium moorei,Oral
11036,gut oral Staphylococcus aureus,oral Staphylococcus aureus,Oral
11045,gut oral Staphylococcus pasteuri 2,oral Staphylococcus pasteuri 2,Oral
11072,gut oral Stomatobaculum longum,oral Stomatobaculum longum,Oral
11128,gut oral Streptococcus anginosus,oral Streptococcus anginosus,Oral
11161,gut oral Streptococcus australis,oral Streptococcus australis,Oral
11252,gut oral Streptococcus constellatus subsp. pharyngis,oral Streptococcus constellatus subsp. pharyngis,Oral
11319,gut oral Streptococcus cristatus,oral Streptococcus cristatus,Oral
11372,gut oral Streptococcus gordonii,oral Streptococcus gordonii,Oral
11397,gut oral Streptococcus gordonii 2,oral Streptococcus gordonii 2,Oral
11477,gut oral Streptococcus infantis 2,oral Streptococcus infantis 2,Oral
11526,gut oral Streptococcus infantis 3,oral Streptococcus infantis 3,Oral
11554,gut oral Streptococcus intermedius,oral Streptococcus intermedius,Oral
11590,gut oral Streptococcus mitis,oral Streptococcus mitis,Oral
11637,gut oral Streptococcus mutans,oral Streptococcus mutans,Oral
11705,gut oral Streptococcus oralis,oral Streptococcus oralis,Oral
11722,gut oral Streptococcus parasanguinis,oral Streptococcus parasanguinis,Oral
11772,gut oral Streptococcus peroris,oral Streptococcus peroris,Oral
11844,gut oral Streptococcus pneumoniae,oral Streptococcus pneumoniae,Oral
11898,gut oral Streptococcus salivarius,oral Streptococcus salivarius,Oral
11927,gut oral Streptococcus salivarius 2,oral Streptococcus salivarius 2,Oral
12024,gut oral Streptococcus sanguinis,oral Streptococcus sanguinis,Oral
12047,gut oral Streptococcus sinensis,oral Streptococcus sinensis,Oral
12109,gut oral Streptococcus sp. F0442,oral Streptococcus sp. F0442,Oral
12195,gut oral Streptococcus thermophilus,oral Streptococcus thermophilus,Oral
12208,gut oral Streptococcus timonensis,oral Streptococcus timonensis,Oral
12289,gut oral Streptococcus vestibularis,oral Streptococcus vestibularis,Oral
12328,gut oral Tannerella forsythia,oral Tannerella forsythia,Oral
12408,gut oral Tannerella sp. oral taxon 808,oral Tannerella sp. oral taxon 808,Oral
12451,gut oral Tannerella sp. oral taxon BU063,oral Tannerella sp. oral taxon BU063,Oral
12526,gut oral Treponema denticola,oral Treponema denticola,Oral
12590,gut oral Treponema lecithinolyticum,oral Treponema lecithinolyticum,Oral
12671,gut oral Treponema maltophilum,oral Treponema maltophilum,Oral
12747,gut oral Treponema medium,oral Treponema medium,Oral
12808,gut oral Treponema socranskii subsp. socranskii ,oral Treponema socranskii subsp. socranskii ,Oral
12888,gut oral Treponema vincentii,oral Treponema vincentii,Oral
12951,gut oral Trueperella pyogenes,oral Trueperella pyogenes,Oral
13003,gut oral Veillonella atypica,oral Veillonella atypica,Oral
13046,gut oral Veillonella denticariosi,oral Veillonella denticariosi,Oral
13060,gut oral Veillonella dispar,oral Veillonella dispar,Oral
13107,gut oral Veillonella infantium,oral Veillonella infantium,Oral
13145,gut oral Veillonella parvula,oral Veillonella parvula,Oral
13166,gut oral Veillonella rogosae,oral Veillonella rogosae,Oral
13212,gut oral Veillonella sp. DNF00869 & oral taxon 780,oral Veillonella sp. DNF00869 & oral taxon 780,Oral
13239,gut oral Veillonella tobetsuensis,oral Veillonella tobetsuensis,Oral
13320,gut oral Xylanimonas cellulosilytica,oral Xylanimonas cellulosilytica,Oral
13372,gut oral [Eubacterium] brachy,oral [Eubacterium] brachy,Oral
13436,gut oral [Eubacterium] infirmum,oral [Eubacterium] infirmum,Oral
13489,gut oral [Eubacterium] minutum,oral [Eubacterium] minutum,Oral
13527,gut oral [Eubacterium] nodatum,oral [Eubacterium] nodatum,Oral
13613,gut oral [Eubacterium] saphenum,oral [Eubacterium] saphenum,Oral
13704,gut oral [Eubacterium] sulci,oral [Eubacterium] sulci,Oral
13742,gut oral candidate division SR1 bacterium MGEHA,oral candidate division SR1 bacterium MGEHA,Oral
13821,gut oral unclassified,oral unclassified,Oral
13865,gut oral unclassified Actinomyces,oral unclassified Actinomyces,Oral
13941,gut oral unclassified Actinomycetaceae,oral unclassified Actinomycetaceae,Oral
14026,gut oral unclassified Alloprevotella,oral unclassified Alloprevotella,Oral
14067,gut oral unclassified Anaerolineaceae,oral unclassified Anaerolineaceae,Oral
14076,gut oral unclassified Atopobiaceae,oral unclassified Atopobiaceae,Oral
14137,gut oral unclassified Atopobium,oral unclassified Atopobium,Oral
14189,gut oral unclassified Bacteria,oral unclassified Bacteria,Oral
14270,gut oral unclassified Bacteroidales,oral unclassified Bacteroidales,Oral
14329,gut oral unclassified Bacteroides,oral unclassified Bacteroides,Oral
14379,gut oral unclassified Bacteroidetes,oral unclassified Bacteroidetes,Oral
14410,gut oral unclassified Campylobacter,oral unclassified Campylobacter,Oral
14442,gut oral unclassified Candidatus Saccharibacteria,oral unclassified Candidatus Saccharibacteria,Oral
14494,gut oral unclassified Capnocytophaga,oral unclassified Capnocytophaga,Oral
14591,gut oral unclassified Cardiobacterium,oral unclassified Cardiobacterium,Oral
14644,gut oral unclassified Catonella,oral unclassified Catonella,Oral
14653,gut oral unclassified Caviibacter,oral unclassified Caviibacter,Oral
14719,gut oral unclassified Centipeda,oral unclassified Centipeda,Oral
14785,gut oral unclassified Chlamydia,oral unclassified Chlamydia,Oral
14837,gut oral unclassified Chryseobacterium,oral unclassified Chryseobacterium,Oral
14900,gut oral unclassified Clostridiales,oral unclassified Clostridiales,Oral
14972,gut oral unclassified Corynebacterium,oral unclassified Corynebacterium,Oral
14983,gut oral unclassified Desulfovibrio,oral unclassified Desulfovibrio,Oral
15068,gut oral unclassified Firmicutes,oral unclassified Firmicutes,Oral
15117,gut oral unclassified Fusobacterium,oral unclassified Fusobacterium,Oral
15210,gut oral unclassified Gemella,oral unclassified Gemella,Oral
15231,gut oral unclassified Granulicatella,oral unclassified Granulicatella,Oral
15288,gut oral unclassified Isoptericola,oral unclassified Isoptericola,Oral
15310,gut oral unclassified Johnsonella,oral unclassified Johnsonella,Oral
15396,gut oral unclassified Kingella,oral unclassified Kingella,Oral
15418,gut oral unclassified Lachnospiraceae,oral unclassified Lachnospiraceae,Oral
15461,gut oral unclassified Lactobacillus,oral unclassified Lactobacillus,Oral
15494,gut oral unclassified Lautropia,oral unclassified Lautropia,Oral
15584,gut oral unclassified Leptotrichia,oral unclassified Leptotrichia,Oral
15599,gut oral unclassified Mogibacterium,oral unclassified Mogibacterium,Oral
15633,gut oral unclassified Neisseria,oral unclassified Neisseria,Oral
15666,gut oral unclassified Neisseriaceae,oral unclassified Neisseriaceae,Oral
15719,gut oral unclassified Olsenella,oral unclassified Olsenella,Oral
15770,gut oral unclassified Oribacterium,oral unclassified Oribacterium,Oral
15825,gut oral unclassified Parvimonas,oral unclassified Parvimonas,Oral
15911,gut oral unclassified Peptoanaerobacter,oral unclassified Peptoanaerobacter,Oral
15991,gut oral unclassified Peptostreptococcus,oral unclassified Peptostreptococcus,Oral
16054,gut oral unclassified Porphyromonas,oral unclassified Porphyromonas,Oral
16092,gut oral unclassified Prevotella,oral unclassified Prevotella,Oral
16140,gut oral unclassified Prevotellaceae,oral unclassified Prevotellaceae,Oral
16211,gut oral unclassified Propionibacteriales,oral unclassified Propionibacteriales,Oral
16234,gut oral unclassified Pseudopropionibacterium,oral unclassified Pseudopropionibacterium,Oral
16284,gut oral unclassified Rodentibacter,oral unclassified Rodentibacter,Oral
16297,gut oral unclassified Sanguibacter,oral unclassified Sanguibacter,Oral
16350,gut oral unclassified Selenomonadaceae,oral unclassified Selenomonadaceae,Oral
16401,gut oral unclassified Selenomonas,oral unclassified Selenomonas,Oral
16476,gut oral unclassified Solobacterium,oral unclassified Solobacterium,Oral
16526,gut oral unclassified Staphylococcus,oral unclassified Staphylococcus,Oral
16549,gut oral unclassified Stomatobaculum,oral unclassified Stomatobaculum,Oral
16592,gut oral unclassified Streptococcus,oral unclassified Streptococcus,Oral
16671,gut oral unclassified Synergistaceae,oral unclassified Synergistaceae,Oral
16751,gut oral unclassified Synergistales,oral unclassified Synergistales,Oral
16822,gut oral unclassified Tannerella,oral unclassified Tannerella,Oral
16851,gut oral unclassified Treponema,oral unclassified Treponema,Oral
16938,gut oral unclassified Veillonella,oral unclassified Veillonella,Oral
16993,gut gut Acetobacter sp. 46_36 & CAG:267,gut Acetobacter sp. 46_36 & CAG:267,Oral
17061,gut gut Acidaminococcus intestini,gut Acidaminococcus intestini,Oral
