	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease	Disease
k_Bacteria|p_Actinobacteria|c_Actinobacteria	3.725632527471615e-05	8.097417807311769e-06	0.00010512782287357935	1.4943568052838428e-05	1.8486779506269607e-05	1.3845035620140694e-05	1.629510893312154e-05	0.00010835161901096688	8.283851337211592e-06	0.00025257064312914453	0.00028887527450327516	0.00041541537255889924	5.581495723046048e-06	2.048204477387166e-05	0.0002626450359804729	0.0002925512120685078	2.065186390887787e-07	0.00012395670015418844	0.0001645557498257015	1.828732068728102e-05	9.89967407009229e-05	0.0001317672664662282	0.00016883513354996638	4.8721408549317e-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia	5.660679888716964e-06	1.2590462313212853e-05	1.4968490053979006e-05	1.9705106520104015e-05	2.5592256069897374e-05	1.043706073278426e-05	7.18994299316029e-06	2.564046910116215e-05	1.0203101010455939e-05	1.3226790399934896e-05	1.7635362155205205e-05	1.56997385629067e-06	2.043502531693723e-05	1.2672533676933239e-05	1.03908541841193e-06	6.2146764141253145e-06	5.28088134833117e-06	1.20486793560968e-06	2.4438605379714967e-05	1.7365218237757327e-05	1.27885704882261e-05	2.554968884474441e-05	2.3581789419900658e-05	1.3708375847929422e-05
k_Bacteria|p_Bacteroidetes|c_Bacteroidia	4.7778755318101666e-05	5.437419744181362e-05	3.8415407479596374e-05	6.923560361048364e-05	4.0208966575001406e-05	6.816629181262067e-05	5.05927274722586e-05	0.0	3.294617177896035e-05	5.803809129936088e-05	4.2076897423210954e-05	6.87735941920499e-06	0.00014549295464067228	4.509305786773811e-05	3.2743835540854015e-05	8.512133475629616e-06	5.83631816619823e-05	5.536273930248459e-05	8.090252203482053e-05	3.8489976782318885e-05	1.97845988879642e-07	9.120880679746386e-05	1.3191185730665895e-05	7.259504494500177e-05
k_Bacteria|p_Firmicutes|c_Bacilli	5.83560503963359e-07	2.622494654591601e-06	1.000332217734823e-06	5.305688412436571e-07	7.37933298995325e-08	2.629192020050296e-07	5.393873905875251e-06	2.3721190290450672e-05	1.8380302802423e-07	0.0	1.7776248699708e-07	2.6734696870733e-07	2.603903084420472e-06	9.684130015279996e-07	3.932416248663039e-05	0.00010804534884447811	4.2461842840990843e-07	4.464755891438641e-06	1.402927764892673e-06	5.210349162647267e-05	3.7685954112651146e-05	9.093644454525277e-06	1.9127017509964027e-06	3.983102352621602e-06
k_Bacteria|p_Firmicutes|c_Clostridia	0.00022169713160603903	0.0002584886192916304	0.00020772872940500275	0.00020700845768308187	0.00021574324234861653	0.00025801264020402424	0.00020929264398129868	0.0001791037492673657	0.00024489208826048494	4.564799600736498e-05	7.68762079131672e-05	5.041528206034792e-05	0.00013607934630037723	0.00022295324518861119	8.983937249531653e-05	5.9939623172073145e-05	0.00013244613093653214	0.0001547710649473524	8.028127766511796e-05	0.00021774816032383543	0.00015274494551679958	9.721338321752231e-05	0.00011835943871987393	0.00016731843493788395
k_Bacteria|p_Firmicutes|c_Erysipelotrichia	2.604520579458176e-06	1.6871447636654363e-06	7.554973184899603e-07	1.1557050356020847e-06	2.5450611805225065e-06	8.940661964166791e-07	8.583789585061744e-07	5.952574885194738e-05	1.1235629918282568e-05	1.635739035913206e-06	6.810270679664551e-06	1.9647281899513617e-06	1.4138551683213463e-05	2.0844351091225158e-06	2.49642833847852e-07	5.21670438590059e-06	1.0035803189930895e-05	5.113595561529199e-06	1.345871346884909e-05	3.015304830188081e-06	4.075609757710038e-06	1.563984822816273e-06	2.477312727477244e-06	1.4656658958970086e-05
k_Bacteria|p_Firmicutes|c_Negativicutes	1.8274230790506e-06	1.704244383074858e-06	6.575978137470951e-06	7.041826721360904e-06	5.839914011946929e-06	8.288089432176831e-07	3.146803596245213e-06	7.72377634087041e-06	1.91693607687387e-06	1.34332516499931e-07	1.831706095236327e-06	1.030709948181927e-06	1.4482858522282455e-05	6.8413416281487134e-06	4.77403954465e-06	1.6884111780878321e-06	4.40034602193254e-08	4.1282982996102345e-06	1.5087867358263676e-05	8.820650161404718e-06	7.635941075931496e-06	9.009860819213521e-06	2.7637825832089297e-06	1.4449896700455596e-05
k_Bacteria|p_Firmicutes|c_Tissierellia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48575483901575e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Fusobacteria|c_Fusobacteriia	0.0	0.0	0.0	3.71754932273157e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83026540619105e-07
k_Bacteria|p_Proteobacteria|c_Alphaproteobacteria	9.593627696514152e-07	1.2320961763864e-07	0.0	0.0	0.0	1.76956805428157e-06	0.0	0.0	4.217637931915908e-06	0.0	0.0	0.0	0.0	1.2072383254545391e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria	8.575655997630491e-07	1.99532626992988e-07	6.83685217842304e-07	1.228557771312296e-06	2.8294595757615904e-07	3.20025270145726e-07	1.91402136062759e-06	3.08800922804289e-06	4.2415116029557e-07	1.66654719086521e-07	4.7932945082001e-07	0.0	8.236178786832292e-07	1.14614239340531e-06	2.9097936502532e-06	7.21005669248743e-07	2.31269960662378e-07	4.22239338487298e-07	4.06928503766979e-07	1.990753555877274e-06	2.93277788898009e-07	8.68301568709785e-07	2.9258894729935e-08	8.758437252183211e-06
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria	1.25447232097252e-07	5.802818649684707e-07	3.99307810874295e-07	2.406142204645982e-07	1.342558405868917e-07	4.96555958574683e-07	4.01851774742227e-07	5.06717396094686e-06	1.2912235052904e-06	1.22243039021883e-07	1.746010674383438e-06	0.0	4.27970178221159e-08	2.691248162345984e-06	0.0	0.0	0.0	5.90573306616121e-07	1.95299269439825e-07	1.161721980404037e-06	0.0	8.466284736649354e-07	4.168390138027327e-07	1.94387297794289e-06
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria	2.78782429813274e-08	9.8992748573443e-07	6.96409378544369e-08	4.61846885627847e-07	5.86563127624949e-07	1.0607168212296787e-06	4.54931749112462e-07	3.756694532552343e-06	4.1436749625962597e-07	1.50856608004419e-06	2.92966271291163e-06	4.395870036191194e-06	4.49953282740898e-06	0.0	2.478215834658922e-06	5.02195849495772e-06	0.0	6.09908817988363e-07	5.0511770023234e-07	9.5114774542896e-06	4.9605372440513424e-05	3.39112657866419e-07	3.83339968939174e-05	1.5291022282900842e-06
k_Bacteria|p_Synergistetes|c_Synergistia	0.0	0.0	0.0	0.0	6.09113679542846e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15472202954803e-07	2.00979382913043e-08	0.0
k_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae	4.88934655338234e-06	0.0	1.34000520167125e-07	1.2772007847897e-05	4.88740492771815e-06	1.85015017838716e-07	1.42712964565328e-06	0.0	1.43831900181105e-05	5.28582020825198e-06	0.0	7.15652325203369e-06	0.0	8.01711803227509e-07	6.50068259914463e-06	0.0	2.22890203059092e-06	0.0	0.0	5.94050473649527e-08	0.0	0.0	2.73427351958212e-07	0.0
k_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales	1.28903458474865e-06	1.2274772652941564e-06	1.4898011949549e-06	0.0	2.57233867692014e-07	1.242286990837799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13045892997151e-06	0.0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.23543476803297e-07	0.0	0.0	0.0	0.0	0.0	0.0	7.52857060871264e-08	2.34337017456333e-07	0.0	2.95944681213086e-07	0.0	2.84513601577085e-07	6.00375826022713e-07	1.10797983398081e-07	0.0	1.06445075127921e-07
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales	3.725632527471615e-05	8.097417807311769e-06	0.00010512782287357935	1.4943568052838428e-05	1.8486779506269607e-05	1.3845035620140694e-05	1.629510893312154e-05	0.00010762807553416358	8.283851337211592e-06	0.00025257064312914453	0.00028887527450327516	0.00041541537255889924	5.581495723046048e-06	2.048204477387166e-05	0.00026256975027438574	0.0002923168750510515	2.065186390887787e-07	0.00012366075547297535	0.0001645557498257015	1.8002807085703934e-05	9.839636487490019e-05	0.00013165646848283013	0.00016883513354996638	4.8614963474189075e-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales	4.601887172642594e-06	8.433782612208908e-06	1.20958842481904e-05	1.2169128395788401e-05	1.934109050278674e-05	5.987394269568799e-06	5.7637434869308485e-06	2.24826731692912e-05	8.476061249360882e-06	1.18354979263429e-05	1.5131195997708763e-05	0.0	1.679351853391614e-05	6.442355283176522e-06	0.0	1.33950896155174e-07	0.0	0.0	1.8337090421202173e-05	1.17986098669778e-05	1.27885704882261e-05	2.258393551563456e-05	2.110436305015502e-05	1.1556236908675443e-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales	1.0587927160743705e-06	4.156679701003945e-06	2.872605805788607e-06	7.535978124315614e-06	6.251165567110637e-06	4.4496664632154606e-06	1.426199506229441e-06	3.15779593187095e-06	1.727039761095057e-06	1.3912924735919969e-06	2.5041661574964422e-06	1.56997385629067e-06	3.6415067830210915e-06	6.230178393756716e-06	1.03908541841193e-06	6.08072551797014e-06	5.28088134833117e-06	1.20486793560968e-06	6.101514958512794e-06	5.566608370779526e-06	0.0	2.96575332910985e-06	2.477426369745639e-06	2.152138939253979e-06
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales	4.7778755318101666e-05	5.437419744181362e-05	3.8415407479596374e-05	6.923560361048364e-05	4.0208966575001406e-05	6.816629181262067e-05	5.05927274722586e-05	0.0	3.294617177896035e-05	5.803809129936088e-05	4.2076897423210954e-05	6.87735941920499e-06	0.00014549295464067228	4.509305786773811e-05	3.2743835540854015e-05	8.512133475629616e-06	5.83631816619823e-05	5.536273930248459e-05	8.090252203482053e-05	3.8489976782318885e-05	1.97845988879642e-07	9.120880679746386e-05	1.3191185730665895e-05	7.259504494500177e-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales	5.83560503963359e-07	2.622494654591601e-06	1.000332217734823e-06	5.305688412436571e-07	7.37933298995325e-08	2.629192020050296e-07	5.393873905875251e-06	2.3721190290450672e-05	1.8380302802423e-07	0.0	1.7776248699708e-07	2.6734696870733e-07	2.603903084420472e-06	9.684130015279996e-07	3.932416248663039e-05	0.00010804534884447811	4.2461842840990843e-07	4.464755891438641e-06	1.402927764892673e-06	5.210349162647267e-05	3.7685954112651146e-05	9.093644454525277e-06	1.9127017509964027e-06	3.983102352621602e-06
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales	0.00022169713160603903	0.0002584886192916304	0.00020772872940500275	0.00020700845768308187	0.00021574324234861653	0.00025801264020402424	0.00020929264398129868	0.0001791037492673657	0.00024489208826048494	4.328442429761422e-05	7.68762079131672e-05	5.041528206034792e-05	0.00013607934630037723	0.0002229197392237787	8.983937249531653e-05	5.9939623172073145e-05	0.00013244613093653214	0.0001547710649473524	8.003203725300305e-05	0.00021774816032383543	0.00015274494551679958	9.721338321752231e-05	0.00011835943871987393	0.00016697075339846962
k_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales	2.604520579458176e-06	1.6871447636654363e-06	7.554973184899603e-07	1.1557050356020847e-06	2.5450611805225065e-06	8.940661964166791e-07	8.583789585061744e-07	5.952574885194738e-05	1.1235629918282568e-05	1.635739035913206e-06	6.810270679664551e-06	1.9647281899513617e-06	1.4138551683213463e-05	2.0844351091225158e-06	2.49642833847852e-07	5.21670438590059e-06	1.0035803189930895e-05	5.113595561529199e-06	1.345871346884909e-05	3.015304830188081e-06	4.075609757710038e-06	1.563984822816273e-06	2.477312727477244e-06	1.4656658958970086e-05
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales	1.8274230790506e-06	6.19976297790848e-07	4.64001022787511e-07	6.88298252575507e-06	5.55697091935196e-06	6.33023631961036e-07	8.19369414383366e-07	0.0	1.91693607687387e-06	0.0	1.831706095236327e-06	0.0	4.70989629409878e-07	6.79150096524075e-06	0.0	0.0	0.0	4.05855230761173e-06	1.51879781486635e-06	2.65904856882771e-06	0.0	2.876016645232731e-06	1.63220335724798e-06	6.99700480243437e-07
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales	0.0	0.0	3.18070708553693e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03243786836149e-06	0.0	0.0	0.0	0.0	0.0	2.70225914403593e-06	0.0	0.0	0.0	0.0	3.20028824854846e-06
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales	0.0	1.08426808528401e-06	2.9312700291465102e-06	1.588441956058341e-07	2.82943092594969e-07	1.95785311256647e-07	2.327434181861847e-06	7.72377634087041e-06	0.0	1.34332516499931e-07	0.0	1.030709948181927e-06	1.0979431024511087e-05	4.98406629079636e-08	4.77403954465e-06	1.6884111780878321e-06	4.40034602193254e-08	6.97459919985041e-08	1.0866810399361396e-05	6.161601592577009e-06	7.635941075931496e-06	6.133844173980791e-06	1.13157922596095e-06	1.05499079716637e-05
k_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48575483901575e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales	0.0	0.0	0.0	3.71754932273157e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83026540619105e-07
k_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales	9.593627696514152e-07	1.2320961763864e-07	0.0	0.0	0.0	1.76956805428157e-06	0.0	0.0	4.217637931915908e-06	0.0	0.0	0.0	0.0	1.2072383254545391e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales	8.575655997630491e-07	1.99532626992988e-07	6.83685217842304e-07	1.228557771312296e-06	2.8294595757615904e-07	3.20025270145726e-07	1.91402136062759e-06	3.08800922804289e-06	4.2415116029557e-07	1.66654719086521e-07	4.7932945082001e-07	0.0	8.236178786832292e-07	1.14614239340531e-06	2.9097936502532e-06	7.21005669248743e-07	2.31269960662378e-07	4.22239338487298e-07	4.06928503766979e-07	1.990753555877274e-06	2.93277788898009e-07	8.68301568709785e-07	2.9258894729935e-08	8.758437252183211e-06
k_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales	1.25447232097252e-07	5.802818649684707e-07	3.99307810874295e-07	2.406142204645982e-07	1.342558405868917e-07	4.96555958574683e-07	4.01851774742227e-07	5.06717396094686e-06	1.2912235052904e-06	1.22243039021883e-07	1.746010674383438e-06	0.0	4.27970178221159e-08	2.691248162345984e-06	0.0	0.0	0.0	5.90573306616121e-07	1.95299269439825e-07	1.161721980404037e-06	0.0	8.466284736649354e-07	4.168390138027327e-07	1.94387297794289e-06
k_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49953282740898e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales	2.78782429813274e-08	4.59765449468387e-07	3.67410896726029e-08	4.61846885627847e-07	5.86563127624949e-07	6.68920407627596e-08	0.0	3.756694532552343e-06	3.60337101674011e-07	1.50856608004419e-06	2.92966271291163e-06	4.101887400808508e-06	0.0	0.0	9.23992216614092e-07	5.02195849495772e-06	0.0	6.09908817988363e-07	5.0511770023234e-07	7.48798500029423e-06	4.918293795414627e-05	3.39112657866419e-07	3.83339968939174e-05	1.5291022282900842e-06
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales	0.0	0.0	3.2899848181834e-08	0.0	0.0	0.0	4.54931749112462e-07	0.0	0.0	0.0	0.0	2.93982635382686e-07	0.0	0.0	1.55422361804483e-06	0.0	0.0	0.0	0.0	2.02349245399537e-06	4.22434486367158e-07	0.0	0.0	0.0
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales	0.0	5.30162036266043e-07	0.0	0.0	0.0	9.93824780466919e-07	0.0	0.0	5.4030394585615e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k_Bacteria|p_Synergistetes|c_Synergistia|o_Synergistales	0.0	0.0	0.0	0.0	6.09113679542846e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15472202954803e-07	2.00979382913043e-08	0.0
k_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales	4.88934655338234e-06	0.0	1.34000520167125e-07	1.2772007847897e-05	4.88740492771815e-06	1.85015017838716e-07	1.42712964565328e-06	0.0	1.43831900181105e-05	5.28582020825198e-06	0.0	7.15652325203369e-06	0.0	8.01711803227509e-07	6.50068259914463e-06	0.0	2.22890203059092e-06	0.0	0.0	5.94050473649527e-08	0.0	0.0	2.73427351958212e-07	0.0
k_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae	1.28903458474865e-06	1.2274772652941564e-06	1.4898011949549e-06	0.0	2.57233867692014e-07	1.242286990837799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13045892997151e-06	0.0
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.23543476803297e-07	0.0	0.0	0.0	0.0	0.0	0.0	7.52857060871264e-08	2.34337017456333e-07	0.0	2.95944681213086e-07	0.0	2.84513601577085e-07	6.00375826022713e-07	1.10797983398081e-07	0.0	1.06445075127921e-07
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae	3.725632527471615e-05	8.097417807311769e-06	0.00010512782287357935	1.4943568052838428e-05	1.8486779506269607e-05	1.3845035620140694e-05	1.629510893312154e-05	0.00010762807553416358	8.283851337211592e-06	0.00025257064312914453	0.00028887527450327516	0.00041541537255889924	5.581495723046048e-06	2.048204477387166e-05	0.00026256975027438574	0.0002923168750510515	2.065186390887787e-07	0.00012366075547297535	0.0001645557498257015	1.8002807085703934e-05	9.839636487490019e-05	0.00013165646848283013	0.00016883513354996638	4.8614963474189075e-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78183155664098e-06	0.0	0.0	1.33950896155174e-07	0.0	0.0	0.0	0.0	0.0	4.75150542337316e-06	1.19758537122251e-06	8.43615436488442e-07
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae	4.601887172642594e-06	8.433782612208908e-06	1.20958842481904e-05	1.2169128395788401e-05	1.934109050278674e-05	5.987394269568799e-06	5.7637434869308485e-06	2.24826731692912e-05	8.476061249360882e-06	1.18354979263429e-05	1.5131195997708763e-05	0.0	1.1011686977275157e-05	6.442355283176522e-06	0.0	0.0	0.0	0.0	1.8337090421202173e-05	1.17986098669778e-05	1.27885704882261e-05	1.78324300922614e-05	1.9906777678932507e-05	1.0712621472187e-05
k_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae	1.0587927160743705e-06	4.156679701003945e-06	2.872605805788607e-06	7.535978124315614e-06	6.251165567110637e-06	4.4496664632154606e-06	1.426199506229441e-06	3.15779593187095e-06	1.727039761095057e-06	1.3912924735919969e-06	2.5041661574964422e-06	1.56997385629067e-06	3.6415067830210915e-06	6.230178393756716e-06	1.03908541841193e-06	6.08072551797014e-06	5.28088134833117e-06	1.20486793560968e-06	6.101514958512794e-06	5.566608370779526e-06	0.0	2.96575332910985e-06	2.477426369745639e-06	2.152138939253979e-06
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae	1.8689551179486167e-05	2.0746343452864047e-05	1.6436944588670286e-05	5.721384625836977e-06	5.783108824047492e-06	2.0832743023254472e-05	4.321969574467318e-05	0.0	1.0990621862840029e-05	2.423140325611218e-05	2.4775443981565067e-05	6.87735941920499e-06	2.076159147704021e-07	1.8959122300955444e-05	1.785989601690562e-05	8.46782568615832e-06	5.83631816619823e-05	5.536273930248459e-05	6.823594025674935e-05	7.968348926443886e-06	0.0	5.148098097525899e-05	2.2663492064720017e-06	1.236703299378343e-05
