,0.0,7.0,30.0,90.0
Clostridia bacterium UC5.1-1D10 / Clostridium sp. CAG:505 / Firmicutes bacterium CAG:466,-1.7432628657466505,-4.453249192324746,0.0,0.0
Clostridia bacterium UC5.1-2E3,0.0,0.0,0.0,0.0
Clostridiales bacterium 1_7_47FAA  & VE202-28,0.0,0.0,0.0,0.0
Clostridiales bacterium 41_21_two_genomes,0.0,0.0,0.0,0.0
Clostridiales bacterium UBA643,-2.2288701931116672,-2.3480400189890633,-0.8450146996319744,-2.1181542847405703
Clostridium asparagiforme == lavalense,2.905354177670289,0.0,0.0,-2.9816491707639226
Clostridium bolteae,3.3237490144518143,-6.299123799846733,0.2570530926890308,0.8355628989189874
Clostridium butyricum,0.0,0.0,0.0,0.0
Clostridium celatum,0.0,0.0,-3.426147120003265,0.0
Clostridium citroniae,0.0,0.0,0.0,-1.6217351877961752
Clostridium clostridioforme 1,0.0,0.0,0.0,1.8081291619628588
Clostridium clostridioforme 2,0.0,0.0,0.0,0.0
Clostridium disporicum,0.0,0.0,-1.6856441554417532,0.0
Clostridium glycyrrhizinilyticum,0.0,0.10259452324633739,0.0,4.255994631783404
Clostridium hylemonae,0.0,-2.289650477412857,0.0,0.0
Clostridium innocuum,3.6108713798571244,-1.2599625706260946,-3.2854615237704623,4.143454809274413
Clostridium leptum,0.0,6.47185679643474,6.379752742824723,-1.2481334475058856
Clostridium neonatale,0.0,0.0,0.0,0.0
Clostridium paraputrificum,0.0,0.0,0.0,-0.08537058415718658
Clostridium perfringens,-3.4857141664221207,-2.7040743887753007,-3.4077328931733954,-5.547094233108409
Clostridium phoceensis,1.073919807089771,1.125581326490381,0.0009786733797514228,0.5574612971806947
Clostridium saccharolyticum 2,0.0,0.0,0.0,0.0
Clostridium saudiense,-2.8740615993649286,1.5454262651624289,-4.83037502202547,-2.536572465849986
Clostridium scindens 1,0.0,0.0,0.0,0.0
Clostridium scindens 2,0.0,-3.3612022507661328,-2.7525958669706765,1.5362476001312177
Clostridium sp. 26_22,0.0,0.0,0.0,0.0
Clostridium sp. 2789STDY5608793,0.0,0.0,0.0,0.8217714868319816
Clostridium sp. 2789STDY5608831,-2.1674061476607442,2.825376703041986,-0.28007407246343097,-1.2331109859414764
Clostridium sp. 2789STDY5608884,0.0,-1.532114008877748,-0.20191144342135128,0.0
Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885,-0.6627327011001677,-0.945012223607011,-2.069731309543431,0.01942552631101227
Clostridium sp. 2789STDY5834920,0.0,0.0,0.0,0.0
Clostridium sp. 2789STDY5834924,-2.5589218450322426,1.57160411704793,-0.9266611007717284,2.5855822267143087
Clostridium sp. 27_14,0.0,0.0,0.0,0.0
Clostridium sp. 28_12 & CAG:356,0.0,0.0,0.0,0.0
Clostridium sp. 28_17 & CAG:470,0.0,0.0,0.0,0.0
Clostridium sp. 29_15 & CAG:265,-1.4892281106177538,0.0,0.0,-0.8782704547625894
Clostridium sp. 42_12 & CAG:75,-1.8423096731473971,1.7273021862394262,3.128044094564914,1.2459095009978935
Clostridium sp. 44_14 & CAG:277,0.0,0.0,0.0,0.0
Clostridium sp. AT4,-1.1528557215005042,0.5095594888959257,0.0,0.0
Clostridium sp. CAG:1000,0.0,0.0,0.0,0.0
Clostridium sp. CAG:127,0.0,-2.301666482894773,0.0,-3.646025796788428
Clostridium sp. CAG:138,0.0,0.0,0.0,0.0
Clostridium sp. CAG:167,0.0,0.0,0.0,0.0
Clostridium sp. CAG:169,1.5402946577027992,2.0619903359729657,0.39064520347673026,1.6348768188173688
Clostridium sp. CAG:217,-1.7490587459205176,-0.01782325425410395,-0.036814543642776004,1.6319941713430821
Clostridium sp. CAG:221,0.0,0.9960551387916671,0.0,-0.11412324630415957
Clostridium sp. CAG:230,0.0,0.0,0.0,0.0
Clostridium sp. CAG:245,-4.139738481505821,0.11523626044809177,-4.831868634669102,-0.16503392482504142
Clostridium sp. CAG:253,0.0,0.0,0.0,0.0
Clostridium sp. CAG:269,0.0,0.0,1.513212301221275,1.2884480982491406
Clostridium sp. CAG:273,0.0,0.0,0.0,0.0
Clostridium sp. CAG:288,0.0,0.0,0.0,0.0
Clostridium sp. CAG:299,-1.9807819627135683,0.9190539158201884,0.0,0.4880668814229098
Clostridium sp. CAG:302,0.0,0.0,0.0,-1.5381070054285104
Clostridium sp. CAG:343,1.5200344332107167,0.0,0.26431370843184837,0.0
Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,3.1341042102412677,0.0,-1.536993866310033,-0.9289695034562999
Clostridium sp. CAG:354_28_25,0.0,0.0,0.0,0.0
Clostridium sp. CAG:389,0.0,0.0,0.0,0.0
Clostridium sp. CAG:411,0.0,0.0,0.0,0.0
Clostridium sp. CAG:43,-0.5857360462003385,-0.23906415976694292,-0.3898377474475143,-0.1643041781514351
Clostridium sp. CAG:433,0.0,0.0,0.0,0.0
Clostridium sp. CAG:440,0.0,0.0,0.0,0.0
Clostridium sp. CAG:451,0.0,0.0,0.0,0.0
Clostridium sp. CAG:465,0.0,0.0,0.0,0.0
Clostridium sp. CAG:508,0.0,0.0,0.0,0.0
Clostridium sp. CAG:524,0.0,0.0,0.0,0.0
Clostridium sp. CAG:568,0.0,0.0,0.0,0.0
Clostridium sp. CAG:575,0.0,0.0,0.0,0.0
Clostridium sp. CAG:58,-0.6181909276599855,0.7379021360992927,-0.89705886366389,-1.2559969522488033
Clostridium sp. CAG:62,-0.6942259330479912,0.5611623655806633,0.5199981772067345,-0.7706409970611446
Clostridium sp. CAG:628,0.0,0.0,0.0,0.0
Clostridium sp. CAG:7,-1.720816316029123,-0.6440666511245167,-1.3153817621116766,0.689231715306634
Clostridium sp. CAG:798,0.0,0.0,0.0,0.0
Clostridium sp. CAG:91 & sp. 2789STDY5834873,1.545942938265672,-1.2800697293869316,-1.4890371114490177,-1.556248610485532
Clostridium sp. CAG:914,0.0,0.0,0.0,0.0
Clostridium sp. CL-2,0.0,0.0,0.0,0.0
Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,1.6499894513255513,-2.4362998503663036,-1.189599337820916,0.0
Clostridium sp. L2-50,0.0,0.0,0.0,0.0
Clostridium sp. Marseille-P2538,0.0,0.0,0.0,0.0
Clostridium spiroforme,2.1649631126724165,2.9251005776864316,1.1103033102909714,1.235650849133214
Clostridium symbiosum,0.28695327664325115,-0.8738610502939244,1.3866520650788516,1.9991064203915838
Colibacter massiliensis,0.0,0.0,0.0,0.0
Collinsella aerofaciens,-0.8277601716849365,0.710648639910726,-0.08799844661407405,0.36129926880723817
Collinsella bouchesdurhonensis,2.1884320529129115,1.0061013065616446,2.1558488641640663,0.0
Collinsella intestinalis,0.0,0.0,0.0,0.0
Collinsella tanakaei,0.0,0.0,0.0,0.0
Comamonas kerstersii,0.0,0.0,0.0,0.0
Coprobacillus cateniformis,0.26405366010555614,-3.3261811599239257,0.8353776337517311,0.0
Coprobacillus sp. 8_1_38FAA / Clostridium sp. 2789STDY5608874,-3.098338207292015,-0.4574195485109338,1.1337836471332379,1.2075964633069125
Coprobacter fastidiosus,0.0,0.0,0.0,-1.4518692240672986
Coprobacter secundus == Gabonia massiliensis,0.0,0.0,0.0,0.0
Coprococcus catus,1.5290980188780334,0.9726236220682868,0.4351815838242588,1.0821719325980566
Coprococcus comes,-0.039800578864435984,0.4766042993800812,-0.714018235355296,0.5454972436773408
Coprococcus eutactus 1,0.0,-6.3230359990803535,-3.6787507890648885,-2.2725417823144998
Coprococcus eutactus 2,0.0,-3.8346495882641483,-5.985281211834874,4.943507662552619
Coprococcus sp. 2789STDY5608819 / Clostridium sp. CAG:264,-9.078084739331816,-0.9504193329502015,-3.6201489756332266,-1.4134749714100858
Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,0.0,0.0,0.0,0.0
Cryptobacterium sp. CAG:338,-5.06149613278126,-4.5909638170545035,-4.5525947320583535,-1.8258300139218053
Dakarella massiliensis,0.0,0.0,0.0,0.0
Desulfovibrio fairfieldensis,0.0,0.0,0.0,0.0
Desulfovibrio piger,0.27469697010704136,2.593975363843611,-1.43190219725261,-0.9927427747703839
Desulfovibrio sp. 92-2,0.0,0.0,0.0,0.0
Desulfovibrio sp. An276,0.0,0.0,0.0,0.0
Dialister invisus,0.2292959209345355,0.0,5.8133107037766365,0.0
Dialister sp. CAG:357,0.0,0.0,0.0,0.0
Dialister sp. CAG:486,-5.186664927053907,-3.590436047384843,-3.4079288262305294,-1.9054495074040154
Dialister succinatiphilus,0.0,0.0,0.0,0.0
Dielma fastidiosa,0.0,0.0,0.0,0.0
Dorea formicigenerans,-0.3176860024170401,-0.37730388018874933,-0.2937512456654505,0.35991975225052364
Dorea longicatena 1,-0.0894239430244955,0.413091099048349,-1.0663316270861023,1.8255614979763617
Dorea longicatena 2,-0.7785577359218611,1.799176408946451,1.1302098386824262,1.7464171776266022
Dorea sp. CAG:105,0.6818830452608644,1.228127488056521,-0.0037097655675418246,-0.6580132001528154
Dorea sp. CAG:317,-3.039659780254135,-3.551797254136258,1.0646242662224787,-5.960193405417837
Drancourtella sp. An12 & An57,0.0,0.0,0.0,0.0
Duodenibacillus massiliensis,0.0,0.0,0.0,0.0
Eggerthella lenta,0.9894404574783039,-1.095530214571754,-1.7870584926195276,-0.7541616552531395
Eggerthella sp. 51_9 & CAG:209,-0.7511223131116272,0.501465282380328,1.4021562394332288,-0.10173709763225439
Eggerthella sp. CAG:298,0.0,0.0,0.0,-0.20357313815754313
Eggerthella sp. CAG:368,0.9789164592241295,3.2444278213392583,4.602134621148142,2.8937261723514807
Eisenbergiella tayi,0.4420665214252269,-1.9772929670792716,-3.9892881034182253,-0.6114446912359732
Enorma massiliensis,0.0,0.0,0.0,0.0
Enterobacter cloacae complex 'Hoffmann cluster IV',0.0,0.0,0.0,0.0
Enterobacter kobei,0.0,0.0,0.0,0.0
Enterobacter ludwigii,0.0,0.0,0.0,0.0
Enterobacter xiangfangensis,-4.953743875356145,0.0,0.20377646155543497,0.0
Enterococcus avium,0.0,0.0,0.0,0.0
Enterococcus faecalis,0.0,0.0,0.0,0.0
Enterococcus faecium,0.0,0.954400737643356,0.0,0.2605800169201678
Enterococcus gallinarum,0.0,0.0,0.0,0.0
Erysipelatoclostridium ramosum,1.4433653126210437,-4.564236728958773,-1.551447208437229,1.8172882171117022
Erysipelotrichaceae bacterium 3_1_53,0.0,0.0,0.0,0.0
Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,7.73050278563938,0.0,0.0,0.0
Escherichia coli,5.274541835429659,3.73892453951347,1.1958238272562078,0.15812293900111649
Eubacteriaceae bacterium CHKCI004 & Eubacterium sp. An3,0.0,0.0,0.0,0.0
Eubacterium dolichum,0.0,0.0,0.0,0.0
Eubacterium eligens,0.6683319419177788,-0.6455507382827343,-2.793360218743832,-0.7128913611096387
Eubacterium hallii,1.2749772981960659,2.2028743259283217,2.123367136477618,2.1147997637820493
Eubacterium ramulus,0.10740001641721744,0.7677506801771335,-0.3116522978121058,1.3644619513780525
Eubacterium rectale,-2.3497562578294473,0.23734592111013347,1.3673926146618423,0.5747641259170699
Eubacterium siraeum,0.3801336477911533,-0.12875568527396616,-0.22727514732138734,0.0
Eubacterium sp. 36_13 & CAG:86,0.0,0.7272423747302725,-1.4964111506607438,1.0720300540203345
Eubacterium sp. 38_16 & CAG:146,-0.4906263769198924,0.7332284406611972,0.9458928393675599,0.465206110874437
Eubacterium sp. CAG:115,-2.753243451791601,-1.9445727048208676,-4.624726065664383,-0.47692216063593845
Eubacterium sp. CAG:156,1.4432066465815008,-1.5602703859116709,0.7072300606853731,-1.364239385219666
Eubacterium sp. CAG:161,-3.4225130436131352,0.0,-1.516322644834013,-2.502264894425186
Eubacterium sp. CAG:180,0.5022454440594768,0.23882000097211994,0.21935436093406135,0.49741166719071
Eubacterium sp. CAG:192,1.9308321169411973,0.0,1.8775731363402761,-2.185348867452561
Eubacterium sp. CAG:248,0.0,0.0,-3.897714905562312,-1.691314777766469
Eubacterium sp. CAG:251 / Clostridium sp. A254.MGS-251,-8.176629518220148,-1.5464208360276477,0.0,-0.8453189269650722
Eubacterium sp. CAG:252,0.0,3.4073487203877435,0.9535609044450774,0.0
Eubacterium sp. CAG:274,0.0,0.0,0.0,0.0
Eubacterium sp. CAG:38,-2.7709307613849257,-3.23152534743497,0.07430378860981286,-0.5737862782389962
Eubacterium sp. CAG:603 & sp.  2789STDY5608818,0.0,0.0,0.0,0.0
Eubacterium ventriosum,-0.7180219633212221,0.7905097179615576,0.6821885393391549,2.527425864813609
Faecalibacterium prausnitzii 1 (A2-165),-2.9535817650928515,-1.6180081658169716,0.655078759864507,1.217312490075558
Faecalibacterium prausnitzii 2,-2.6126231226046084,-1.3474060283313232,-1.1860028016271686,0.47073924187705085
Faecalibacterium prausnitzii 3 ( L2-6),-0.9951719948729565,-1.333860473412367,0.3233072088576964,0.2720457489066089
Faecalibacterium prausnitzii 4 (cf. KLE1255),-1.3010516470406988,-0.005709516147577373,-1.3232711816494462,-0.5835162415586048
Faecalibacterium prausnitzii 5,-0.7899274351109647,6.568995375073076,6.82963346672898,0.0
Faecalibacterium prausnitzii 6,-1.7792053760270368,1.1106192072769594,-0.17582113644741015,3.609789158095286
Faecalibacterium prausnitzii 7,0.0,0.0,0.0,0.0
Faecalibacterium sp. CAG:74,1.8495900969412655,2.9634768276964536,2.259746373815765,1.6498974153729338
Faecalibacterium sp. CAG:82,-6.581718433444014,0.6276756263772892,-0.7184494927816486,4.016451667134245
Faecalicatena contorta,0.0,0.0,0.0,0.0
Faecalicatena fissicatena,0.0,0.0,0.0,0.0
Faecalicoccus pleomorphus,0.0,0.0,0.0,0.0
Faecalitalea cylindroides,0.0,0.0,4.210739118500631,0.0
Faecalitalea sp. UBA637,-0.48297184754970374,-1.5011084403649282,-1.805434635160815,-0.7440062861155644
Firmicutes bacterium CAG:102,2.727197907991287,1.0547594707544103,-2.905333520951749,4.59465913074144
Firmicutes bacterium CAG:103,-1.6243185160235505,2.2656055483626987,2.610734386204668,0.0
Firmicutes bacterium CAG:110,3.786131214682233,0.0,0.0,0.9217136303717047
Firmicutes bacterium CAG:114,1.4223157135539857,2.3715558878019416,0.9518926124138105,1.3699926929770598
Firmicutes bacterium CAG:124,-3.3518840264108216,0.47075298547782246,-2.004587591601553,-1.135841157452722
Firmicutes bacterium CAG:129,0.030670010706678685,-0.852154126956734,-2.994801284464932,-1.2378920888429776
Firmicutes bacterium CAG:145,-5.172722275210982,1.275805843091121,-0.05522395688970777,-3.73693156630409
Firmicutes bacterium CAG:170,2.9719731836587515,0.0,0.0,0.0
Firmicutes bacterium CAG:176,1.8432396872954746,1.7879034502575946,1.938866218018252,0.44274537184343826
Firmicutes bacterium CAG:176_63_11,-0.7016995283253851,-1.0398326169943621,-0.5382803149870441,1.3365781603384859
Firmicutes bacterium CAG:194,0.0,-5.381747928831906,0.0,0.0
Firmicutes bacterium CAG:212 / Clostridium sp. 2789STDY5834871,1.2432931033573376,-1.1317258024088135,-0.965122800100778,1.2662750995906056
Firmicutes bacterium CAG:227,3.2668310925569064,2.639816159133942,3.5812818046800206,1.586361085008027
Firmicutes bacterium CAG:238,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,0.7598191918335843,0.7241859936555622,-0.24174166954269755,-0.8912786417475427
Firmicutes bacterium CAG:240,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:272,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:313,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:321,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:341,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:345,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,2.0544723635269415,1.5392719689239716,1.1332154987492347,-0.4249998115541793
Firmicutes bacterium CAG:424,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:475,0.0,0.0,0.0,0.0
Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883,1.7302923171507738,-3.841326798848571,-3.283379134225769,-1.8009506961888444
Firmicutes bacterium CAG:83,-1.892460052685525,-2.507435129937284,-3.306594488397831,-1.260949725596919
Firmicutes bacterium CAG:94,1.6808930315662154,0.07201244071649876,1.0479114490063521,0.0
Firmicutes bacterium CAG:95,0.0,-3.3467909747241777,0.0,0.48041347733605266
Flavonifractor plautii,2.74374438612049,-1.891935610943864,2.3818741822188234,2.727204564859558
Flavonifractor sp. 2789STDY5834895 & sp. 2789STDY5834937 /  Clostridium sp. 2789STDY5608878,0.1240102457914393,1.478361709130592,-0.33483627199678906,0.4390989465147078
Flavonifractor sp. 2789STDY5834931,2.2208718160029837,-0.598459394016602,-0.3685914851514674,3.48239331786496
Flavonifractor sp. An10,0.0,0.0,0.0,0.0
Fusicatenibacter saccharivorans,-0.5850212467010706,0.6206099118708811,0.15903611365985673,1.1377061572788683
Fusobacterium mortiferum,0.0,0.0,0.0,0.0
Fusobacterium nucleatum subsp. animalis,0.0,0.0,0.0,0.0
Fusobacterium nucleatum subsp. polymorphum,0.0,0.0,0.0,0.0
Fusobacterium sp. CAG:439,0.0,0.0,0.0,0.0
Gemella sanguinis,0.0,0.0,0.0,0.0
Gemmiger formicilis,0.6491725431110782,1.5455757984165919,0.7875161321399742,0.8413980307568373
Gordonibacter urolithinfaciens,0.0,0.3241552098780814,0.5181231499333172,1.3524501214901083
Granulicatella adiacens,0.0,0.0,0.0,0.0
Haemophilus parainfluenzae,-1.4925248824205095,-5.138334188316702,-2.3209387504898737,-0.39188238150655297
Holdemanella biformis,-1.3911470626084106,-4.446434284436862,-3.6394155394590357,-0.8241481478258023
Holdemania filiformis,2.7181177830908885,-0.3033362581109049,-1.141624912480712,-1.1001139359951042
Holdemania massiliensis,0.09930477538526256,1.3584970254999549,0.883418296718228,0.0
Hungatella hathewayi 1,0.0,0.0,0.0,0.0
Hungatella hathewayi 2,2.3635998789598323,-0.7460833508480225,1.3061365661135604,2.5140285725446065
Intestinibacter bartlettii,2.0587651539457443,-1.0970680038319371,1.9962291278423494,0.7451917946128495
Intestinimonas butyriciproducens,0.0,0.0,0.0,0.0
Intestinimonas massiliensis,0.0,0.0,1.0095684309127986,0.9526041290370817
