,Faecalibacterium prausnitzii 5
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,-0.06515917080771824
Clostridium saccharolyticum 2,-0.06499658505300501
Bifidobacterium catenulatum,-0.06452771012366229
Azospirillum sp. 51_20,-0.06399769809707107
Roseburia sp. CAG:380,-0.06392516702913555
unclassified Libanicoccus,-0.06392046692502028
Bacteroides ovatus,-0.0632520685665815
Bifidobacterium dentium,-0.06322066328079091
Roseburia sp. CAG:197,-0.06285786284796434
Streptococcus sanguinis,-0.06271733395286082
Blautia producta,-0.0626622851248479
Megasphaera sp. ASD88 & An286,-0.062492857017456716
Butyricicoccus pullicaecorum,-0.06219288880294284
Anaerostipes hadrus 1,-0.062074439867445416
Bacteroides congonensis,-0.06201152337081242
Clostridium hylemonae,-0.061019153634608414
Intestinimonas butyriciproducens,-0.06071387290298835
Blautia wexlerae,-0.06065648678066743
Roseburia sp. CAG:303,-0.06002456575183985
Clostridium sp. CAG:299,-0.059607259895138334
Duodenibacillus massiliensis,-0.05894587281755656
Negativibacillus massiliensis,-0.058625675275627155
Lactobacillus oris,-0.058379228639687225
Klebsiella michiganensis 2,-0.05836175910747841
Bacteroides caccae,-0.05829512455443277
Ruminococcus sp. JC304,-0.0581727084447494
Clostridium sp. CAG:389,-0.05810182830960248
Intestinimonas massiliensis,-0.05807763997596242
Coprobacter secundus == Gabonia massiliensis,-0.057949960686176985
Streptococcus oralis,-0.05783177314015688
Prevotella sp. 885,-0.05742408573869128
Prevotellamassilia timonensis,-0.056918118210433924
Bacteroides xylanisolvens,-0.05687280329813013
Enterococcus faecium,-0.05674614122879563
Sutterella wadsworthensis 1,-0.05642929823192983
Massiliomicrobiota timonensis,-0.05604036535406635
Gemella sanguinis,-0.055601720336044436
Bifidobacterium pseudocatenulatum,-0.05554117006687001
Clostridium sp. CAG:288,-0.05529029419523457
Eisenbergiella tayi,-0.055100430519457635
Eggerthella sp. 51_9 & CAG:209,-0.05480029381553039
Klebsiella variicola,-0.05442320249668513
Streptococcus infantis,-0.05378325794991564
Ruminococcus sp. CAG:382,-0.05347518510168841
Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883,-0.0534276820322683
Bacteroides fragilis 1,-0.05338811462498931
Blautia sp. CAG:237,-0.053380156188067296
Clostridium asparagiforme == lavalense,-0.0530491119634338
Blautia sp. CAG:257,-0.052826589132542706
Streptococcus infantarius,-0.05277299436290336
Oscillibacter sp. CAG:155,-0.052740513598931935
Azospirillum sp. CAG:239,-0.05271401102151555
Fusobacterium mortiferum,-0.05248520845399123
Eubacterium dolichum,-0.05230338055772649
Fusobacterium nucleatum subsp. animalis,-0.05216074208368277
Anaerotruncus colihominis,-0.051823010974812365
Enterococcus faecalis,-0.05168724514421084
Eubacterium sp. CAG:248,-0.05160727173208961
unclassified Lactobacillus,-0.0514998794513031
Turicibacter sanguinis 1,-0.0513155531826751
Merdimonas faecis,-0.050968316307607245
Clostridium disporicum,-0.05089255912554007
Clostridium clostridioforme 1,-0.05072227232718864
Bacteroidales bacterium 55_9,-0.050618279326728674
Bacteroides faecis,-0.050376618448119574
Clostridium sp. CAG:127,-0.050217518625025874
Clostridia bacterium UC5.1-1D10 / Clostridium sp. CAG:505 / Firmicutes bacterium CAG:466,-0.049918707674987024
Solobacterium moorei,-0.04984955633019172
Ruminococcus sp. CAG:403,-0.04971279356809328
Succinatimonas sp. CAG:777,-0.04968930820165386
Firmicutes bacterium CAG:170,-0.04964691965247326
Dialister invisus,-0.04957446161152999
Ruthenibacterium lactatiformans,-0.049306274040875765
Ruminococcaceae bacterium D5,-0.04907142705325358
Prevotella sp. CAG:732,-0.049048419386856126
Lactobacillus crispatus,-0.048418383370145555
[Staphylococcus] sp. CAG:324,-0.04813582602838999
Streptococcus australis,-0.04804517330119859
Drancourtella sp. An12 & An57,-0.047941600504289035
Clostridium sp. AT4,-0.04769747910688306
unclassified Intestinibacter,-0.04700159136535582
Clostridium sp. CAG:914,-0.04686883752351641
Bacteroides salyersiae,-0.046513549972399024
Ruminococcus lactaris,-0.04649592828123487
Clostridium scindens 1,-0.04639517713875401
Bacteroides finegoldii,-0.04602796718594603
Lactobacillus rogosae,-0.04583421052574816
Clostridium sp. CAG:465,-0.04576402347779255
Bacteroides sp. CAG:770,-0.04568880557124767
Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885,-0.045646698891062036
Holdemania filiformis,-0.04553044536059302
Olsenella sp. Marseille-P2300,-0.04551895006957795
Eubacterium sp. CAG:161,-0.045396976632263636
Faecalicatena fissicatena,-0.04538672608965647
Roseburia sp. CAG:100,-0.04507521100668646
Parvimonas micra,-0.04463563443617914
unclassified Actinobacteria,-0.04446514116882505
Bacteroides sp. CAG:709,-0.04443737353917184
Massiliomicrobiota sp. An80 & An105 & An134 & An142,-0.04435661393259234
Roseburia sp. CAG:471,-0.04413070939567173
Atopobium parvulum,-0.04410061136900287
Klebsiella pneumoniae,-0.04408193725956117
Bifidobacterium angulatum,-0.04405436057443734
Enterococcus gallinarum,-0.04388078644909364
Catabacter hongkongensis,-0.043496037054517725
Dorea sp. CAG:317,-0.043305853294943714
Dielma fastidiosa,-0.04301624130147438
Clostridium sp. CAG:568,-0.04294850274715983
Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,-0.042718691732904074
Streptococcus pasteurianus,-0.04210469048430503
unclassified Bacteroides,-0.04172008865775643
Slackia exigua,-0.04171196997300147
Streptococcus mitis,-0.04156137851276936
Butyricimonas synergistica 2,-0.041127476975480824
Alistipes sp. CAG:514,-0.04110862794135502
Anaeromassilibacillus sp. An250,-0.04095951077207559
Atopobium parvulum 2,-0.040878531604940316
Parabacteroides merdae,-0.04078929523691073
Bifidobacterium scardovii,-0.040777510007830066
Oscillibacter sp. ER4 / Firmicutes bacterium CAG:129_59_24,-0.04071321028689463
Christensenella minuta,-0.04032637415233956
Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,-0.03997416985338578
Klebsiella oxytoca,-0.03994811159058087
Prevotella sp. P4-51 & PA-67 & P5-64 & P5-108 & CAG:474,-0.03979867026710029
Clostridium sp. 27_14,-0.03964178245737395
Blautia producta 2,-0.03958014399037748
Bacteroides coprocola,-0.03923198005167479
Peptoniphilus senegalensis,-0.0391459853729221
Butyricicoccus sp. 2789STDY5834927 / Clostridia bacterium UC5.1-1D1,-0.03905350355100308
Collinsella intestinalis,-0.038795196047027296
unclassified Erysipelatoclostridium,-0.03845331569268153
Clostridium leptum,-0.03845305480563912
Klebsiella quasipneumoniae,-0.038118785635706864
Bacteroides stercorirosoris,-0.037813944392068644
Eubacteriaceae bacterium CHKCI004 & Eubacterium sp. An3,-0.037813944392068644
Anaerofustis stercorihominis,-0.037813944392068616
Bacteroides fragilis 2,-0.037813944392068616
Blautia hansenii,-0.037813944392068616
Clostridium neonatale,-0.037813944392068616
unclassified Clostridiaceae,-0.037813944392068616
Clostridium sp. Marseille-P2538,-0.03781394439206861
Bacteroides sp. Marseille-P3108 & CAG:633,-0.03781394439206861
Peptostreptococcus stomatis,-0.0378139443920686
Lachnoclostridium sp. An118,-0.037813944392068595
Cloacibacillus evryensis,-0.037813944392068595
Firmicutes bacterium CAG:475,-0.037813944392068595
Clostridium clostridioforme 2,-0.037813944392068595
Enterobacter cloacae complex 'Hoffmann cluster IV',-0.037813944392068595
Ruminococcus sp. CAG:353 & sp. 2789STDY5834938,-0.03781394439206859
Campylobacter concisus 2,-0.03781394439206858
Lachnoanaerobaculum saburreum,-0.03781394439206858
Desulfovibrio sp. An276,-0.03781394439206858
Enterobacter kobei,-0.03781394439206858
Clostridium butyricum,-0.03781394439206858
unclassified Rhodospirillales,-0.037813944392068574
Clostridium sp. 44_14 & CAG:277,-0.037813944392068574
Lactococcus lactis subsp. cremoris,-0.037813944392068574
Raoultella ornithinolytica,-0.03781394439206857
unclassified Butyricimonas,-0.03781394439206857
Morganella morganii,-0.03781394439206857
Veillonella tobetsuensis,-0.03781394439206856
Anaeromassilibacillus sp. An172,-0.03781394439206856
Clostridium sp. CAG:508,-0.03781394439206856
Mediterranea massiliensis ,-0.03781394439206856
Acidiphilium sp. CAG:727,-0.03781394439206856
Neglecta timonensis,-0.03781394439206856
Clostridium sp. CL-2,-0.03781394439206856
Enorma massiliensis,-0.03781394439206856
Colibacter massiliensis,-0.03781394439206856
unclassified Cloacibacillus,-0.03781394439206855
Enterobacter ludwigii,-0.03781394439206855
Anaerotruncus sp. CAG:528,-0.03781394439206855
Granulicatella adiacens,-0.03781394439206855
Flavonifractor sp. An10,-0.03781394439206855
Blastocystis sp. subtype 4,-0.037813944392068546
unclassified Proteobacteria,-0.037813944392068546
Anaerococcus obesiensis == vaginalis,-0.037813944392068546
Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702,-0.037813944392068546
Anaerotignum lactatifermentans,-0.037813944392068546
Phascolarctobacterium sp. CAG:266,-0.037813944392068546
unclassified Intestinimonas,-0.03781394439206854
Klebsiella michiganensis 1,-0.03781394439206854
Prevotella denticola,-0.03781394439206853
Anaeroglobus geminatus,-0.03781394439206853
Eubacterium sp. CAG:274,-0.037813944392068526
Fusobacterium nucleatum subsp. polymorphum,-0.037813944392068526
Proteus mirabilis,-0.03781394439206851
Firmicutes bacterium CAG:345,-0.037813944392068505
unclassified Verrucomicrobia,-0.037813944392068505
Desulfovibrio piger,-0.03772633478964311
Clostridium sp. CAG:245,-0.037557975085414294
Clostridiales bacterium 1_7_47FAA  & VE202-28,-0.036901457912859405
Prevotella sp. CAG:1320,-0.036563994866551486
Clostridia bacterium UC5.1-2E3,-0.0365222891167894
Faecalibacterium prausnitzii 3 ( L2-6),-0.03643280515339589
Firmicutes bacterium CAG:424,-0.03637032859183767
Streptococcus sp. I-P16,-0.0362776113919492
Collinsella tanakaei,-0.03606543757825144
Blautia massiliensis,-0.033205992729349154
Clostridium sp. CAG:167,-0.03131966075307187
Anaerofilum sp. An201,-0.031098136577036542
unclassified Prevotella,-0.031085283883731028
unclassified Clostridia,-0.02966544754527802
unclassified Coprococcus,-0.029595259868904537
Firmicutes bacterium CAG:238,-0.02877036035355092
unclassified Niameybacter,-0.0278333731626869
Ruminococcus torques,-0.026306249144134
unclassified Porphyromonas,-0.025119811573867307
Leuconostoc mesenteroides,-0.025119811573867296
Peptoniphilus lacrimalis,-0.02511981157386729
Clostridium sp. CAG:138,-0.024816110831631596
Lactobacillus gasseri 1,-0.023669082443546416
Lactobacillus delbrueckii,-0.02356620885180354
Firmicutes bacterium CAG:145,-0.023546478353666436
Lactobacillus johnsonii,-0.023174057511382715
Clostridium celatum,-0.022168926393264572
Hungatella hathewayi 1,-0.021826211015726692
Streptococcus lutetiensis,-0.02089806537254996
Clostridium sp. CAG:524,-0.019269135120045706
Oscillibacter sp. CAG:241,-0.018603544825689277
unclassified Parabacteroides,-0.018446940501539163
Bacteroides eggerthii,-0.01813001995211588
Clostridium sp. CAG:628,-0.017346748789866872
Eubacterium eligens,-0.016660630336439258
unclassified Ruminiclostridium,-0.01639989837954623
unclassified Prevotellaceae,-0.01604342503402571
Blautia sp. 2789STDY5608796 & sp. 2789STDY5608848,-0.01600574132606841
unclassified Roseburia,-0.011452278555078096
unclassified Lachnoclostridium,-0.008457237111309425
Firmicutes bacterium CAG:321,-0.00826009552254705
Prevotella sp. CAG:386,-0.00801059117702984
unclassified Firmicutes,-0.007497259429612059
Cloacibacillus porcorum,-0.007255426838043601
Methanobrevibacter smithii 2,-0.006819683042776007
Clostridium sp. 2789STDY5834924,-0.005855647851652348
Parabacteroides johnsonii,-0.004963995016698908
Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,-0.004948604120514995
Escherichia coli,-0.00347860494286205
Weissella cibaria,-0.001518637992724217
Phascolarctobacterium sp. CAG:207,-0.0013725705126577026
Turicibacter sanguinis 2,-0.0009564070629883328
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,-0.000852584425541455
unclassified Clostridium,-0.00029538115381163123
Bifidobacterium adolescentis,-3.896766065176483e-05
unclassified Alistipes,0.0015588103662326509
Blautia hydrogenotrophica,0.002015441909222003
Pseudoflavonifractor sp. An184,0.004213958002332404
Megasphaera elsdenii,0.004613716147743728
Firmicutes bacterium CAG:94,0.0048333328177426905
Alistipes indistinctus,0.00675858364412273
Bacteroides clarus,0.007351041129478985
Parabacteroides distasonis,0.008884706580126703
Firmicutes bacterium CAG:95,0.010178145437279483
Collinsella aerofaciens,0.010742228160163556
Dorea longicatena 1,0.011871368403455665
Firmicutes bacterium CAG:114,0.013525508980048657
Dorea sp. CAG:105,0.014577362353972736
Clostridium sp. CAG:273,0.01496190423597699
Ruminococcus sp. CAG:177,0.015526274664907908
Clostridium sp. CAG:354_28_25,0.018974800846740032
Bifidobacterium animalis,0.020138402783287993
Clostridium paraputrificum,0.021830339431591815
Lachnospira sp. 2789STDY5834967 / Clostridiales bacterium KLE1615 & 41_12_two_minus,0.022363573696996538
Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,0.025695970680510827
Ruminococcus sp. UNK.MGS-30,0.026296792626037197
Clostridium sp. 29_15 & CAG:265,0.02747933659096917
unclassified Sutterella,0.02804064762677003
Faecalibacterium prausnitzii 1 (A2-165),0.02922450471137219
Succinatimonas hippei,0.029961352977975034
Prevotella sp. CAG:924,0.02996135297797505
Bacteroides sp. Marseille-P3166 & CAG:598,0.02996135297797507
Bacteroides dorei,0.03127079910825211
Eubacterium sp. CAG:180,0.03152661458223931
Lactobacillus mucosae,0.033036781357406245
Megamonas funiformis == rupellensis,0.033731037987391715
Bacteroides stercoris,0.03529172402629895
Collinsella bouchesdurhonensis,0.03530245508102502
Parabacteroides goldsteinii,0.03618054241637953
Methanosphaera stadtmanae,0.03658926530509841
Barnesiella intestinihominis,0.03736476298726509
Bacteroides plebeius,0.03880186855615165
Clostridium sp. CAG:221,0.04061852462507395
Eubacterium ventriosum,0.04066153173794917
Faecalicoccus pleomorphus,0.04087853896859253
Clostridium sp. CAG:440,0.04214785346310805
Flavonifractor sp. 2789STDY5834895 & sp. 2789STDY5834937 /  Clostridium sp. 2789STDY5608878,0.04221673139502584
Eubacterium sp. CAG:192,0.04478153497242435
Methanobrevibacter smithii 1,0.045168346165698293
Faecalitalea cylindroides,0.04536123614918985
unclassified Eggerthellaceae,0.04702365452244592
Paraprevotella clara,0.048054299356769775
unclassified Gemmiger,0.049040690964961664
Prevotella copri 1,0.05097879776894356
Alistipes inops == Tidjanibacter massiliensis,0.0513963567769175
Eubacterium rectale,0.05208385694022909
Coprococcus comes,0.053815175732489784
unclassified Bilophila,0.05388039659183898
Lactococcus lactis subsp. lactis,0.056863700398195605
Mitsuokella jalaludinii,0.05865312871045543
Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,0.05870018166723134
Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,0.06226997127123536
Clostridium sp. CAG:269,0.06289302181301432
Allisonella histaminiformans,0.06384759989767093
Alistipes sp. An31A,0.06402117745663949
Eubacterium sp. CAG:252,0.06629924067879238
unclassified Desulfovibrionales,0.06849415077734032
Butyricimonas virosa,0.06923948125058245
bacterium LF-3 / Coprobacillus sp. CAG:235,0.0706297006483
Firmicutes bacterium CAG:212 / Clostridium sp. 2789STDY5834871,0.07244666802161821
Alistipes obesi,0.07576414312118951
Firmicutes bacterium CAG:341,0.0764166399164714
unclassified Paraprevotella,0.0768562259654688
Prevotella sp. KHD1 & AG:487_50_53 & CAG:487,0.07711551232343743
Faecalibacterium sp. CAG:82,0.07765032259309639
Eubacterium sp. CAG:38,0.0779494302496485
Firmicutes bacterium CAG:124,0.08023434937951203
Lactobacillus acidophilus,0.08658669187790867
unclassified Flavonifractor,0.08690822370624136
Ruminococcus callidus,0.08839532201960897
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.08843782272064714
unclassified Eggerthella,0.08872220502261949
Alistipes ihumii,0.09001779763303887
Blautia sp. 2789STDY5834862,0.09221976888033082
Streptococcus thermophilus,0.09253573659982661
Coprococcus catus,0.09415574112089373
Clostridium sp. CAG:62,0.09602807457222522
unclassified Lachnospiraceae,0.09679175973629146
Comamonas kerstersii,0.09866510160924219
Ruminococcus faecis,0.10287721995722027
Alistipes shahii,0.10722551886491109
Roseburia sp. CAG:45 & sp. 2789STDY5608886,0.10833761838365152
Firmicutes bacterium CAG:102,0.1101656822916085
Eubacterium sp. 36_13 & CAG:86,0.11054534354492072
unclassified Marvinbryantia,0.11292320978518908
Romboutsia timonensis,0.11320077022099073
Clostridium sp. CAG:58,0.1151251242307383
Eubacterium ramulus,0.11611511254396531
Fusicatenibacter saccharivorans,0.11660270711024806
Clostridium sp. CAG:43,0.12071748551711632
Eubacterium hallii,0.12443169052209947
unclassified Clostridiales,0.12450861249569563
Ruminococcus sp. 2789STDY5608794 & sp. 2789STDY5834890 / Firmicutes bacterium CAG:56,0.1258202940432101
butyrate-producing bacterium SS3/4 - Clostridium sp. CAG:81,0.12756201471242196
Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,0.1280401066807179
Roseburia hominis,0.13087141816925912
Acetobacter sp. 46_36 & CAG:267,0.13307390911892816
Ruminococcus bromii 2,0.13340849500267538
Oscillibacter sp. KLE 1728 & KLE 1745 / Oscillospiraceae VE202-24,0.13710258899309274
Firmicutes bacterium CAG:103,0.13756955500345663
Clostridium sp. CAG:217,0.13978801089567477
bacterium OL-1,0.14062096094655072
Faecalibacterium prausnitzii 7,0.1448537838048831
Gemmiger formicilis,0.1451907358067377
unclassified Ruminococcaceae,0.14543672850567463
Bacteroides cellulosilyticus,0.14624861330505504
unclassified Erysipelotrichaceae,0.15003393938055806
Clostridium sp. CAG:169,0.15359460565599029
Firmicutes bacterium CAG:194,0.15732559984203434
Firmicutes bacterium CAG:272,0.1576684914445187
Dialister succinatiphilus,0.1590958811170151
Firmicutes bacterium CAG:110,0.1646095875376013
unclassified Faecalibacterium,0.16856402169624538
Clostridium sp. 2789STDY5608831,0.16884793909018692
Clostridiales bacterium 41_21_two_genomes,0.16893707075323505
unclassified Ruminococcus,0.17772985956108128
Coprococcus eutactus 2,0.18147136422089882
Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,0.1821435769598246
Akkermansia sp. CAG:344,0.1865124894617224
Odoribacter splanchnicus,0.18937036460879678
Anaerostipes hadrus 2,0.18984909538044623
Clostridium sp. CAG:411,0.1985963177499563
Alistipes sp. CAG:435,0.20055372678541744
Coprococcus sp. 2789STDY5608819 / Clostridium sp. CAG:264,0.20456734691317927
Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,0.2063374196592812
Faecalibacterium prausnitzii 4 (cf. KLE1255),0.20658315334787009
Dorea longicatena 2,0.2089957197981657
Alistipes putredinis,0.21137250712964376
Clostridium sp. 42_12 & CAG:75,0.21465221743252763
Clostridium sp. 2789STDY5834920,0.2178343987271601
Oscillibacter sp. 57_20,0.22176020026257418
unclassified Gordonibacter,0.225174240094862
Faecalibacterium prausnitzii 6,0.22774105319635166
Eubacterium sp. CAG:156,0.24360647289151985
Clostridium sp. 28_17 & CAG:470,0.24439474757567112
Odoribacter laneus,0.24501327803150097
unclassified,0.2476317373365168
Phascolarctobacterium succinatutens,0.2549152486247493
Blautia sp. CAG:52 & sp. 2789STDY5834917,0.25767044310575943
Clostridium sp. CAG:451,0.25791072672427406
unclassified Bacteroidales,0.2616764139160515
Eubacterium siraeum,0.26863367852027076
unclassified Oscillibacter,0.27030629236265924
Bacteroides sp. CAG:144,0.2726607686219701
Roseburia faecis,0.27331030519878663
Firmicutes bacterium CAG:129,0.27686377117500305
Clostridium phoceensis,0.2771137699261982
Coprobacter fastidiosus,0.2901048605279531
Blautia obeum,0.29120625169043884
Faecalibacterium sp. CAG:74,0.29788191746287934
unclassified Collinsella,0.3023365487634145
Coprococcus eutactus 1,0.3121264638718671
Lachnospiraceae bacterium TF01-11 / Clostridium sp. CAG:122,0.31220293609227295
Desulfovibrio fairfieldensis,0.31339656502773744
Ruminococcus sp. 37_24 & sp. 2789STDY5834934,0.31692502966924213
Clostridium sp. CAG:575,0.3182959562664114
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,0.32241294797877484
Firmicutes bacterium CAG:176,0.32620832835996233
Clostridium sp. 2789STDY5608884,0.3293503849587952
Firmicutes bacterium CAG:240,0.3555212952360781
Eubacterium sp. CAG:115,0.35582959813094417
Clostridium sp. 26_22,0.35618372462554615
Ruminococcaceae bacterium D16,0.363668012553218
Ruminococcus sp. CAG:60 / Blautia sp. 2789STDY5608836,0.3646861265087585
Clostridium sp. 28_12 & CAG:356,0.3707386368653531
Clostridium sp. CAG:253,0.3766934979940449
Eggerthella sp. CAG:368,0.38687349119155123
Clostridium sp. 2789STDY5608793,0.40288822784924844
Eggerthella sp. CAG:298,0.4051112370326557
Bacteroides coprophilus,0.40596819706161175
Alistipes senegalensis,0.42419666058066324
Clostridium sp. CAG:1000,0.4393402510568101
Eubacterium sp. CAG:603 & sp.  2789STDY5608818,0.4393402510568102
Clostridium sp. L2-50,0.4393402510568103
Clostridium sp. CAG:91 & sp. 2789STDY5834873,0.45813072055212073
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,0.4633337461121296
Clostridium sp. CAG:798,0.47297441700695375
Roseburia sp. CAG:182,0.47782682439669405
Dakarella massiliensis,0.48617374740443786
Clostridium sp. CAG:433,0.49412784154500733
Adlercreutzia equolifaciens,0.4943420360223196
Subdoligranulum sp. CAG:314,0.49719999489446964
Fusobacterium sp. CAG:439,0.5044530445102452
Rhodospirillum sp. UNK.MGS-17 / Azospirillum sp. 47_25 & CAG:260,0.5053961179217682
Firmicutes bacterium CAG:176_63_11,0.5277217544767708
Alistipes sp. CAG:268,0.5853954672185165
Barnesiella sp. An22,0.607132333628487
Dialister sp. CAG:357,0.6764696183647738
Faecalibacterium prausnitzii 5,1.0
