,,0
Albumin,"stool 3,6-Diketocholanic Acid| 3,12-Diketocholanic Acid",0.682684824948247
Albumin,stool 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.7325420917522825
Albumin,"stool 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.6692731519863083
Albumin,stool Deoxycholic Acid,0.669700699473543
Albumin,stool 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7182733790673025
Albumin,urine Taurochenodeoxycholic Acid,-0.6572214632559825
Ammonia,Ammonia,0.9999999999999998
Lactate,Days after treatment,-0.6895346552867357
Lactate,neut/lymph,0.9800463826949821
Lactate,Lactate,1.0
Lactate,Calprotectin/(µg/g),0.9093243782056298
Lactate,N/L ratio,-0.6419360872252501
Lactate,Calprotectin (µg/g),-0.6420712705610186
Ascites,Ascites,0.9999999999999998
HE grade,HE grade,0.9999999999999999
Calprotectin/(µg/g),neut/lymph,0.8579135724065948
Calprotectin/(µg/g),Lactate,0.9093243782056297
Calprotectin/(µg/g),Calprotectin/(µg/g),1.0
N/L ratio,neut/lymph,-0.6418577497928727
N/L ratio,Lactate,-0.64193608722525
N/L ratio,N/L ratio,1.0
Calprotectin (µg/g),neut/lymph,-0.6419929166318036
Calprotectin (µg/g),Lactate,-0.6420712705610185
Calprotectin (µg/g),Calprotectin (µg/g),1.0
Height (cm),Height (cm),1.0
Weight (kg),Weight (kg),1.0
Weight (kg),BMI,0.8701992299882516
BMI,Weight (kg),0.8701992299882516
BMI,BMI,1.0
BMI,oral [Eubacterium] saphenum,-0.6415560135852091
Smoking / day,Smoking / day,1.0
Smoking / day,oral Lactobacillus salivarius,0.6874576597453825
MELDNA,MELD,0.7223304284695877
MELDNA,Sodium,-0.731671851407093
MELDNA,MELDNA,1.0
MELDPLUS,CRP,0.6609147848922464
MELDPLUS,MELDPLUS,1.0
MELDPLUS,plasma Taurochenodeoxycholic Acid-3-Sulfate,0.6426229508196722
MELDPLUS,stool 5-beta-Cholanic Acid 12-alpha-ol-3-one,-0.6413815141146075
MELDPLUS,gut Veillonella parvula,0.6649090490245078
plasma 5-Cholenic Acid-3-beta-ol,plasma 5-Cholenic Acid-3-beta-ol,1.0
plasma 3-Ketocholanic Acid,plasma 3-Ketocholanic Acid,1.0
plasma 3-Ketocholanic Acid,plasma Lithocholic Acid,0.9385384829119201
plasma 3-Ketocholanic Acid,plasma Isolithocholic Acid,0.8813816909260274
plasma 3-Ketocholanic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.8376014064660313
plasma 3-Ketocholanic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.8033720369539186
plasma 3-Ketocholanic Acid,plasma Deoxycholic Acid,0.825062517365935
plasma 3-Ketocholanic Acid,plasma Glycolithocholic Acid,0.8610810142868166
plasma 3-Ketocholanic Acid,plasma Glycodeoxycholic Acid,0.844679077521534
plasma 3-Ketocholanic Acid,plasma Taurolithocholic Acid,0.821211742392983
plasma 3-Ketocholanic Acid,plasma Taurodeoxycholic Acid,0.7798833009169215
plasma 3-Ketocholanic Acid,plasma Lithocholic Acid 3-Sulfate,0.7964823074165067
plasma 3-Ketocholanic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.7874965268130037
plasma 3-Ketocholanic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.8646224282219808
plasma 3-Ketocholanic Acid,stool Isolithocholic Acid,0.6844679077521535
plasma 3-Ketocholanic Acid,stool Isoallolithocholic Acid,0.663239646574124
plasma 3-Ketocholanic Acid,stool Cholic acid|Ursocholic acid,-0.6805412767638681
plasma 3-Ketocholanic Acid,stool Allolithocholic Acid,0.6415115309808281
plasma 3-Ketocholanic Acid,urine Deoxycholic Acid,0.7218591900737003
plasma 3-Ketocholanic Acid,urine Glycodeoxycholic Acid,0.7632140515689058
plasma 3-Ketocholanic Acid,urine Taurohyocholic Acid,-0.6469574881911644
plasma 3-Ketocholanic Acid,urine Taurolithocholic Acid 3-Sulfate,0.693650947267731
plasma 3-Ketocholanic Acid,urine Deoxycholic Acid-3-Sulfate,0.6692510832979218
plasma 3-Ketocholanic Acid,urine Glycolithocholic Acid-3-Sulfate,0.7959149722516206
plasma 3-Ketocholanic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7274115760030316
plasma Lithocholic Acid,plasma 3-Ketocholanic Acid,0.9385384829119201
plasma Lithocholic Acid,plasma Lithocholic Acid,1.0
plasma Lithocholic Acid,plasma Isolithocholic Acid,0.8505439078785965
plasma Lithocholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.8187960350829955
plasma Lithocholic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.7525361658537947
plasma Lithocholic Acid,plasma Deoxycholic Acid,0.8315087524312311
plasma Lithocholic Acid,plasma Glycolithocholic Acid,0.8733639100563503
plasma Lithocholic Acid,plasma Glycodeoxycholic Acid,0.8718532925812728
plasma Lithocholic Acid,plasma Taurolithocholic Acid,0.8690034594261731
plasma Lithocholic Acid,plasma Taurodeoxycholic Acid,0.8140594609613784
plasma Lithocholic Acid,plasma Lithocholic Acid 3-Sulfate,0.809625029600634
plasma Lithocholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.7892192275632122
plasma Lithocholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.8458554297799533
plasma Lithocholic Acid,stool 5-Cholenic Acid-3-beta-ol,-0.6454660387680256
plasma Lithocholic Acid,urine Deoxycholic Acid,0.750177250222831
plasma Lithocholic Acid,urine Glycodeoxycholic Acid,0.7051579309381903
plasma Lithocholic Acid,urine Taurodeoxycholic Acid,0.6401702400197286
plasma Lithocholic Acid,urine Taurolithocholic Acid 3-Sulfate,0.6635792940094026
plasma Lithocholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.775684320395918
plasma Lithocholic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7520934437037995
plasma Isolithocholic Acid,plasma 3-Ketocholanic Acid,0.8813816909260273
plasma Isolithocholic Acid,plasma Lithocholic Acid,0.8505439078785966
plasma Isolithocholic Acid,plasma Isolithocholic Acid,1.0
plasma Isolithocholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.8015539642625917
plasma Isolithocholic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.8086251213003796
plasma Isolithocholic Acid,plasma Deoxycholic Acid,0.7748410469679362
plasma Isolithocholic Acid,plasma Glycolithocholic Acid,0.7115944317127926
plasma Isolithocholic Acid,plasma Glycodeoxycholic Acid,0.7850275348698853
plasma Isolithocholic Acid,plasma Taurolithocholic Acid,0.702487777709728
plasma Isolithocholic Acid,plasma Taurodeoxycholic Acid,0.740774759558139
plasma Isolithocholic Acid,plasma Lithocholic Acid 3-Sulfate,0.678051000022361
plasma Isolithocholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.6915678999662097
plasma Isolithocholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7892515471202295
plasma Isolithocholic Acid,urine Deoxycholic Acid,0.7171911520900419
plasma Isolithocholic Acid,urine Glycodeoxycholic Acid,0.7085098974098538
plasma Isolithocholic Acid,urine Deoxycholic Acid-3-Sulfate,0.6584837222890715
plasma Isolithocholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.7026313036025001
plasma Isolithocholic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7032288531448488
plasma 5-beta-Cholenic Acid-7-alpha-ol-3-one,plasma 5-beta-Cholenic Acid-7-alpha-ol-3-one,1.0
plasma 5-beta-Cholenic Acid-7-alpha-ol-3-one,plasma Chenodeoxycholic Acid,0.6662930377681019
plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,1.0
plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,plasma Chenodeoxycholic Acid,0.6540795041912559
plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,plasma Hyocholic acid,0.665498227006013
plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,urine 3-alpha-Hydroxy-7 Ketolithocholic Acid,0.7033413922180718
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma 3-Ketocholanic Acid,0.8376014064660312
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Lithocholic Acid,0.8187960350829954
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Isolithocholic Acid,0.8015539642625917
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,1.0
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.8676323801660591
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Deoxycholic Acid,0.8905162202375168
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Glycolithocholic Acid,0.6801091455935363
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Glycodeoxycholic Acid,0.836923735425201
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Taurodeoxycholic Acid,0.7545867039643412
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Lithocholic Acid 3-Sulfate,0.6484837227712066
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.6739438501055568
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma Glycodeoxycholic Acid-3-Sulfate,0.6632705312124824
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.9183257193327946
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Deoxycholic Acid,0.7874931102060196
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Glycodeoxycholic Acid,0.7580696200483861
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Taurohyocholic Acid,-0.7587656753827936
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Deoxycholic Acid-3-Sulfate,0.7170191091898802
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Taurochenodeoxycholic Acid-3-Sulfate,-0.6542349173347474
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.6738680576403672
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine Glycodeoxycholic Acid-3-Sulfate,0.6675152489032188
plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7901821702414394
plasma Murocholic Acid,plasma Murocholic Acid,0.9999999999999998
plasma Murocholic Acid,plasma Ursodeoxycholic Acid,0.8028174885116041
plasma Murocholic Acid,plasma Glycoursodeoxycholic Acid,0.756359493814224
plasma Murocholic Acid,plasma Glycoursodeoxycholic Acid-3-Sulfate,0.6537740174848417
plasma Murocholic Acid,stool Murocholic Acid,0.7217027662310658
plasma Murocholic Acid,urine Ursodeoxycholic Acid-3-Sulfate,0.7040778054049343
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma 3-Ketocholanic Acid,0.8033720369539185
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Lithocholic Acid,0.7525361658537947
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Isolithocholic Acid,0.8086251213003796
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.867632380166059
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol","plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.9999999999999998
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Deoxycholic Acid,0.8769472719205775
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Glycodeoxycholic Acid,0.7928857137673458
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Taurochenodeoxycholic Acid,-0.6641433002974135
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Taurodeoxycholic Acid,0.7047778026453824
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Taurohyocholic Acid,-0.6700988479767442
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Taurocholic Acid,-0.646590107137281
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Glycolithocholic Acid-3-Sulfate,0.6593275703557538
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma Glycodeoxycholic Acid-3-Sulfate,0.7178857066285982
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.8976264902471124
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool 5-Cholenic Acid-3-beta-ol,-0.645302529548373
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.7082125258062331
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol","stool 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.7230148864481175
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool Deoxycholic Acid,0.6759783005871587
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool Cholic acid|Ursocholic acid,-0.6639052885004421
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool Glycodeoxycholic Acid,0.6775873073054368
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",stool 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.6841281106355496
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Deoxycholic Acid,0.7835507967257106
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Glycodeoxycholic Acid,0.8307858943602882
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Taurochenodeoxycholic Acid,-0.6911105243768942
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Taurohyocholic Acid,-0.7616547077551622
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Deoxycholic Acid-3-Sulfate,0.8093830471053112
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Taurochenodeoxycholic Acid-3-Sulfate,-0.6757124503347736
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Glycolithocholic Acid-3-Sulfate,0.7300977077726711
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine Glycodeoxycholic Acid-3-Sulfate,0.8107066289395779
"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.75911989995055
plasma Deoxycholic Acid,plasma 3-Ketocholanic Acid,0.825062517365935
plasma Deoxycholic Acid,plasma Lithocholic Acid,0.8315087524312311
plasma Deoxycholic Acid,plasma Isolithocholic Acid,0.7748410469679362
plasma Deoxycholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.8905162202375168
plasma Deoxycholic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.8769472719205775
plasma Deoxycholic Acid,plasma Deoxycholic Acid,1.0
plasma Deoxycholic Acid,plasma Glycolithocholic Acid,0.7161595178204851
plasma Deoxycholic Acid,plasma Glycodeoxycholic Acid,0.8997499305362603
plasma Deoxycholic Acid,plasma Taurodeoxycholic Acid,0.8410669630452906
plasma Deoxycholic Acid,plasma Lithocholic Acid 3-Sulfate,0.7117631532105786
plasma Deoxycholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.717199222006113
plasma Deoxycholic Acid,plasma Glycodeoxycholic Acid-3-Sulfate,0.7260350097249237
plasma Deoxycholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.9361157556201807
plasma Deoxycholic Acid,stool 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.69580560517251
plasma Deoxycholic Acid,"stool 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.723701028063351
plasma Deoxycholic Acid,stool Deoxycholic Acid,0.6953139110689226
plasma Deoxycholic Acid,stool Glycodeoxycholic Acid,0.6761154528306095
plasma Deoxycholic Acid,urine Deoxycholic Acid,0.8632260741712346
plasma Deoxycholic Acid,urine Glycodeoxycholic Acid,0.856014827047615
plasma Deoxycholic Acid,urine Taurohyocholic Acid,-0.7833842734092804
plasma Deoxycholic Acid,urine Deoxycholic Acid-3-Sulfate,0.8209809722156917
plasma Deoxycholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.7092121785843235
plasma Deoxycholic Acid,urine Glycodeoxycholic Acid-3-Sulfate,0.7434112728040689
plasma Deoxycholic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.756871524980789
plasma Chenodeoxycholic Acid,plasma 5-beta-Cholenic Acid-7-alpha-ol-3-one,0.666293037768102
plasma Chenodeoxycholic Acid,plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,0.6540795041912559
plasma Chenodeoxycholic Acid,plasma Chenodeoxycholic Acid,1.0
plasma Chenodeoxycholic Acid,plasma Cholic acid|Ursocholic acid,0.8241178105029177
plasma Chenodeoxycholic Acid,plasma Hyocholic acid,0.685440347980554
plasma 12-Dehydrocholic Acid|7-Dehydrocholic Acid,plasma 12-Dehydrocholic Acid|7-Dehydrocholic Acid,1.0
plasma Ursodeoxycholic Acid,plasma Murocholic Acid,0.8028174885116041
plasma Ursodeoxycholic Acid,plasma Ursodeoxycholic Acid,1.0
plasma Ursodeoxycholic Acid,plasma Glycoursodeoxycholic Acid,0.8445679355376494
plasma Ursodeoxycholic Acid,plasma Tauroursodeoxycholic Acid,0.778105029174771
plasma Ursodeoxycholic Acid,plasma Ursodeoxycholic Acid-3-Sulfate,0.6732527506979509
plasma Ursodeoxycholic Acid,plasma Glycoursodeoxycholic Acid-3-Sulfate,0.6467352042233955
plasma Ursodeoxycholic Acid,stool Murocholic Acid,0.7171357917686867
plasma Ursodeoxycholic Acid,urine Ursodeoxycholic Acid,0.6997911000430722
plasma Ursodeoxycholic Acid,urine Ursodeoxycholic Acid-3-Sulfate,0.6509947770417484
plasma Cholic acid|Ursocholic acid,plasma Chenodeoxycholic Acid,0.8241178105029177
plasma Cholic acid|Ursocholic acid,plasma Cholic acid|Ursocholic acid,1.0
plasma Cholic acid|Ursocholic acid,plasma Hyocholic acid,0.710626256861212
plasma Cholic acid|Ursocholic acid,plasma Chenodeoxycholic Acid-3-Sulfate,0.6911919977771604
plasma Cholic acid|Ursocholic acid,urine omega Muricholic Acid,0.6487798228236069
plasma Cholic acid|Ursocholic acid,urine Cholic acid|Ursocholic acid,0.7616560155598778
plasma Hyocholic acid,plasma 3-alpha-Hydroxy-7 Ketolithocholic Acid,0.665498227006013
plasma Hyocholic acid,plasma Chenodeoxycholic Acid,0.685440347980554
plasma Hyocholic acid,plasma Cholic acid|Ursocholic acid,0.710626256861212
plasma Hyocholic acid,plasma Hyocholic acid,1.0
plasma Hyocholic acid,plasma Glycochenodeoxycholic Acid,0.704260282099986
plasma Hyocholic acid,plasma Glycoursodeoxycholic Acid,0.6497186118749851
plasma Hyocholic acid,plasma Glycocholic Acid,0.6473834944953215
plasma Hyocholic acid,plasma Glycohyocholic Acid,0.7045382722642316
plasma Hyocholic acid,plasma Tauroursodeoxycholic Acid,0.7831260916964833
plasma Hyocholic acid,plasma Taurochenodeoxycholic Acid,0.7144903201442268
plasma Hyocholic acid,plasma Taurohyocholic Acid,0.7255543286812045
plasma Hyocholic acid,plasma Taurocholic Acid,0.6402113482577831
plasma Hyocholic acid,plasma Chenodeoxycholic Acid-3-Sulfate,0.6719856240310634
plasma Glycoursocholanic Acid,plasma Glycoursocholanic Acid,1.0
plasma Glycolithocholic Acid,plasma 3-Ketocholanic Acid,0.8610810142868165
plasma Glycolithocholic Acid,plasma Lithocholic Acid,0.8733639100563503
plasma Glycolithocholic Acid,plasma Isolithocholic Acid,0.7115944317127926
plasma Glycolithocholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.6801091455935363
plasma Glycolithocholic Acid,plasma Deoxycholic Acid,0.716159517820485
plasma Glycolithocholic Acid,plasma Glycolithocholic Acid,0.9999999999999998
plasma Glycolithocholic Acid,plasma Glycodeoxycholic Acid,0.8298457770810339
plasma Glycolithocholic Acid,plasma Taurolithocholic Acid,0.8933290792245834
plasma Glycolithocholic Acid,plasma Taurodeoxycholic Acid,0.7036820965523388
plasma Glycolithocholic Acid,plasma Lithocholic Acid 3-Sulfate,0.8818658102275031
plasma Glycolithocholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.8425455132047375
plasma Glycolithocholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7107033195053307
plasma Glycolithocholic Acid,stool Isolithocholic Acid,0.6655550988242838
plasma Glycolithocholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.7325319622012229
plasma Glycochenodeoxycholic Acid,plasma Hyocholic acid,0.704260282099986
plasma Glycochenodeoxycholic Acid,plasma Glycochenodeoxycholic Acid,1.0
plasma Glycochenodeoxycholic Acid,plasma Glycoursodeoxycholic Acid,0.699972214504029
plasma Glycochenodeoxycholic Acid,plasma Glycocholic Acid,0.8278966379549877
plasma Glycochenodeoxycholic Acid,plasma Glycohyocholic Acid,0.7118088357877189
plasma Glycochenodeoxycholic Acid,plasma Tauroursodeoxycholic Acid,0.7207557654904142
plasma Glycochenodeoxycholic Acid,plasma Taurochenodeoxycholic Acid,0.6885245901639346
plasma Glycochenodeoxycholic Acid,plasma Taurocholic Acid,0.6627952208946931
plasma Glycodeoxycholic Acid,plasma 3-Ketocholanic Acid,0.844679077521534
plasma Glycodeoxycholic Acid,plasma Lithocholic Acid,0.8718532925812728
plasma Glycodeoxycholic Acid,plasma Isolithocholic Acid,0.7850275348698853
plasma Glycodeoxycholic Acid,plasma 3-alpha-Hydroxy-12 Ketolithocholic Acid,0.836923735425201
plasma Glycodeoxycholic Acid,"plasma 5-beta-Cholanic Acid-3-beta, 12-alpha-diol",0.792885713767346
plasma Glycodeoxycholic Acid,plasma Deoxycholic Acid,0.8997499305362603
plasma Glycodeoxycholic Acid,plasma Glycolithocholic Acid,0.8298457770810339
plasma Glycodeoxycholic Acid,plasma Glycodeoxycholic Acid,1.0
plasma Glycodeoxycholic Acid,plasma Taurolithocholic Acid,0.7776990511871832
plasma Glycodeoxycholic Acid,plasma Taurodeoxycholic Acid,0.917199222006113
plasma Glycodeoxycholic Acid,plasma Lithocholic Acid 3-Sulfate,0.7747537476956029
plasma Glycodeoxycholic Acid,plasma Glycolithocholic Acid-3-Sulfate,0.791886635176438
plasma Glycodeoxycholic Acid,plasma Glycodeoxycholic Acid-3-Sulfate,0.6915254237288136
plasma Glycodeoxycholic Acid,plasma 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.8605450743938022
plasma Glycodeoxycholic Acid,plasma Neopterin,-0.6528094299206693
plasma Glycodeoxycholic Acid,urine Deoxycholic Acid,0.8027360166929141
plasma Glycodeoxycholic Acid,urine Glycodeoxycholic Acid,0.8596033462432845
plasma Glycodeoxycholic Acid,urine Taurohyocholic Acid,-0.690803000833565
plasma Glycodeoxycholic Acid,urine Deoxycholic Acid-3-Sulfate,0.6921495134203105
plasma Glycodeoxycholic Acid,urine Glycolithocholic Acid-3-Sulfate,0.759399757226355
plasma Glycodeoxycholic Acid,urine Glycodeoxycholic Acid-3-Sulfate,0.7097069979428716
plasma Glycodeoxycholic Acid,urine 5-beta-Cholanic Acid 12-alpha-ol-3-one,0.7653430923982734
plasma Glycoursodeoxycholic Acid,plasma Murocholic Acid,0.756359493814224
plasma Glycoursodeoxycholic Acid,plasma Ursodeoxycholic Acid,0.8445679355376494
plasma Glycoursodeoxycholic Acid,plasma Hyocholic acid,0.6497186118749851
plasma Glycoursodeoxycholic Acid,plasma Glycochenodeoxycholic Acid,0.699972214504029
plasma Glycoursodeoxycholic Acid,plasma Glycoursodeoxycholic Acid,1.0
plasma Glycoursodeoxycholic Acid,plasma Tauroursodeoxycholic Acid,0.8888024451236457
plasma Glycoursodeoxycholic Acid,plasma Ursodeoxycholic Acid-3-Sulfate,0.6492983250116656
plasma Glycoursodeoxycholic Acid,plasma Glycoursodeoxycholic Acid-3-Sulfate,0.7384829119199778
plasma Glycoursodeoxycholic Acid,stool Murocholic Acid,0.7263608327569931
plasma Glycoursodeoxycholic Acid,stool Glycoursodeoxycholic Acid,0.6448081360681989
plasma Glycoursodeoxycholic Acid,urine Ursodeoxycholic Acid,0.6841755970369802
plasma Glycoursodeoxycholic Acid,urine Glycoursodeoxycholic Acid-3-Sulfate,0.6967490969713811
plasma Glycocholic Acid,plasma Hyocholic acid,0.6473834944953215
plasma Glycocholic Acid,plasma Glycochenodeoxycholic Acid,0.8278966379549877
plasma Glycocholic Acid,plasma Glycocholic Acid,1.0
plasma Glycocholic Acid,plasma Taurocholic Acid,0.7109752709085858
plasma Taurolithocholic Acid,plasma 3-Ketocholanic Acid,0.8212117423929831
